0    0.41528480312246641 0.10118563446591626 0.20257768808619969  0         -0.1890939474105835 0.35317075252532959 0.58056497573852539 
1    0.64739848124893051 0.17572636287764895 0.1446197869591431  0         0.32925641536712646 0.52837479114532471 0.70554876327514648 
2    0.41528480312246641 0.063325446688612327 0.20257768808620014  0         -0.1890939474105835 0.39609062671661377 0.58056497573852539 
3    0.8748932996655705 0.2100761958815289 0.40752086381793723  0         0.83959841728210449 0.74541139602661133 0.17465746402740479 
4    0.55110551761084481 0.89481991352659629 0.77195015117052057  0         0.11410295963287354 -0.38597667217254639 -0.52776098251342773 
5    0.41528480312246641 0.42872141229493266 0.20257768808619805  0         -0.1890939474105835 -0.014597117900848389 0.58056497573852539 
6    0.86294741133625374 0.93701728080206215 0.57617459775435365  0         0.81341373920440674 -0.084070086479187012 -0.14363622665405273 
7    0.58874726748556805 0.056943465980045682 0.14461978695914463  0         0.19775617122650146 0.59677302837371826 0.70554876327514648 
8    0.054543764729840231 0.94449300085124155 0.25844215055104791  0         -1 -1 0.46590983867645264 
9    0.33381609811626661 0.23845033142110741 0.84404498997242539  0         -0.37073439359664917 0.10691952705383301 -0.68134605884552002 
10    0.94545623527015976 0.63915966907168209 0.022720032563284913  0         1 0.34521758556365967 1 
11    0.054543764729840231 0.94449300085124155 0.25844215055104791  0         -1 -1 0.46590983867645264 
12    0.41528480312246641 0.063326704912855469 0.1997256995118484  0         -0.1890939474105835 0.39609062671661377 0.58695995807647705 
13    0.63352655025492755 0.80729879636150115 0.22562599530723318  0         0.29839873313903809 -0.1948932409286499 0.53271198272705078 
14    0.41528480312246641 0.063325446688612327 0.20257768808620014  0         -0.1890939474105835 0.39609062671661377 0.58056497573852539 
15    0.52779586343785201 0.057803803558759199 0.083377860322490727  0         0.06233668327331543 0.52837479114532471 0.84739398956298828 
16    0.33381609811626661 0.19225174579821722 0.85852971293979241  0         -0.37073439359664917 0.15910601615905762 -0.71346920728683472 
17    0.8748932996655705 0.78356387942875327 0.18791489842254275  0         0.83959841728210449 0.1026158332824707 0.6124492883682251 
18    0.41528480312246641 0.063325446688612327 0.20257768808620014  0         -0.1890939474105835 0.39609062671661377 0.58056497573852539 
