50    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
51    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
52    0.94545623527015976 0.062693127829699324 0.031801029566148886  0         -1 -0.99212926626205444 0.97620582580566406 
53    0.94545623527015976 0.055583627865019261 0.10713045563651649  0         -1 -1 0.79103541374206543 
54    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
55    0.94545623527015976 0.055680332702909459 0.023470350171772455  0         -1 -1 0.99776864051818848 
56    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
57    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
58    0.94545623527015976 0.055602466779186219 0.084212561789943213  0         -1 -1 0.8448176383972168 
59    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
60    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
61    0.94545623527015976 0.055668016964154833 0.03027589125230527  0         -1 -1 0.97992265224456787 
62    0.94545623527015976 0.14293242579388427 0.02272003256331348  0         -1 -0.90120697021484375 1 
63    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
64    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
65    0.94545623527015976 0.055670607160844258 0.028755388502593623  0         -1 -1 0.9840322732925415 
66    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
67    0 0 0  0         -0.76364326477050781 -1 1 
68    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
69    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
70    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
71    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
72    0.94545623527015976 0.23161019828045026 0.02272003256331024  0         -1 -0.80088174343109131 1 
73    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
74    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
75    0.94545623527015976 0.06270937859251513 0.022720032563334817  0         -1 -0.99212926626205444 1 
76    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
77    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
78    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
79    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
80    0.94545623527015976 0.34212808088521762 0.02272003256329989  0         -1 -0.67746186256408691 1 
81    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
82    0.94545623527015976 0.05561188438963835 0.074264435491387212  0         -1 -1 0.86907052993774414 
83    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
84    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
85    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
86    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
87    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
88    0.94545623527015976 0.055672560661563196 0.027618062557669493  0         -1 -1 0.98734366893768311 
89    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
90    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
91    0.94545623527015976 0.13674396740344288 0.022720032563313133  0         -1 -0.90754061937332153 1 
92    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
93    0.94545623527015976 0.064466908311426721 0.022720032563334238  0         -1 -0.98954856395721436 1 
94    0.94545623527015976 0.055602466779186219 0.084212561789943213  0         -1 -1 0.8448176383972168 
95    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
96    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
97    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
98    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
99    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
100    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
101    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
102    0.94545623527015976 0.25919046733398854 0.022720032563307582  0         -1 -0.76960748434066772 1 
103    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
104    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
105    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
106    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
107    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
108    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
109    0.94545623527015976 0.53540367974116698 0.022720032563288327  0         -1 -0.46050345897674561 1 
110    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
111    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
112    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
113    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
114    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
115    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
116    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
117    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
118    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
119    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
120    0.94545623527015976 0.055675180997156147 0.026105708124279578  0         -1 -1 0.99120056629180908 
121    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
122    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
123    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
124    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
125    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
126    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
127    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
128    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
129    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
130    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
131    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
132    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
133    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
134    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
135    0.94545623527015976 0.05568114649196499 0.023095044291512185  0         -1 -1 0.9987257719039917 
136    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
137    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
138    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
139    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
140    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
141    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
142    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
143    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
144    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
145    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
146    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
147    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
148    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
149    0 0 0  0         -0.97932356595993042 -1 1 
150    0.94545623527015976 0.055602466779186219 0.084212561789943213  0         -1 -1 0.8448176383972168 
151    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
152    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
153    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
154    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
155    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
156    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
157    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
158    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
159    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
160    0.94545623527015976 0.055472500135253747 0.43806325530932155  0         -1 -1 0.11722207069396973 
161    0.94545623527015976 0.055472055515361163 0.44440051000575709  0         -1 -1 0.10471582412719727 
162    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
163    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
164    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
165    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
166    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
167    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
168    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
169    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
170    0 0 0  0         -0.89971429109573364 -1 1 
171    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
172    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
173    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
174    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
175    0.886386793290876 0.41000113475388017 0.022720032563291217  0         -0.86594903469085693 -0.53354549407958984 1 
176    0.77905940986274758 0.25189294624082337 0.02272003256329376  0         -0.62396407127380371 -0.59030234813690186 1 
177    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
178    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
179    0.94545623527015976 0.055476245119236565 0.39965065336122368  0         -1 -1 0.18971681594848633 
180    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
181    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
182    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
183    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
184    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
185    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
186    0.94545623527015976 0.055495281962620061 0.29849366318712217  0         -1 -1 0.38615632057189941 
187    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
188    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
189    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
190    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
191    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
192    0.94545623527015976 0.055472055515361163 0.44440051000575709  0         -1 -1 0.10471582412719727 
193    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
194    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
195    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
196    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
197    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
198    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
199    0.94545623527015976 0.22716537330104841 0.022720032563310705  0         -1 -0.80568373203277588 1 
200    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
201    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
202    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
203    0.94545623527015976 0.055675180997156147 0.026105708124279578  0         -1 -1 0.99120056629180908 
204    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
205    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
206    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
207    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
208    0 0 0  0         -0.96336901187896729 -1 1 
209    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
210    0.94545623527015976 0.05558734712863677 0.10240333558335149  0         -1 -1 0.8024749755859375 
211    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
212    0.94545623527015976 0.055601021933634802 0.0858850401244384  0         -1 -1 0.84115695953369141 
213    0.94545623527015976 0.055472126281478608 0.44334394275152417  0         -1 -1 0.10663723945617676 
214    0.94545623527015976 0.055670607160844258 0.028755388502593623  0         -1 -1 0.98404884338378906 
215    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
216    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
217    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
218    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
219    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
220    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
221    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
222    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
223    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
224    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
225    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
226    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
227    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
228    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
229    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
230    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
231    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
232    0.94545623527015976 0.0555407102885392 0.17622440109867807  0         -1 -1 0.63749706745147705 
233    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
234    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
235    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
236    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
237    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
238    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
239    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
240    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
241    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
242    0.94545623527015976 0.055613978714130131 0.072210830060401243  0         -1 -1 0.87354660034179688 
243    0.94545623527015976 0.055495281962620061 0.29849366318712217  0         -1 -1 0.38615632057189941 
244    0.94545623527015976 0.055509279321293119 0.2515267256893034  0         -1 -1 0.48009145259857178 
245    0.94545623527015976 0.25473952520667253 0.022720032563308103  0         -1 -0.77527540922164917 1 
246    0.94545623527015976 0.055486015446392332 0.66117447849564315  0         -1 -1 -0.30733621120452881 
247    0.94545623527015976 0.055486015446392332 0.66117447849564315  0         -1 -1 -0.30733621120452881 
248    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
249    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
250    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
251    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
252    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
253    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
254    0.30521285607008286 0.37491598934865222 0.24513213827991706  0         0.43530046939849854 0.078249335289001465 0.49261343479156494 
255    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
256    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
257    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
258    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
259    0.94545623527015976 0.055537926239006392 0.1818205398437889  0         -1 -1 0.62488007545471191 
260    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
261    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
262    0.94545623527015976 0.055517055850489869 0.22999195270807868  0         -1 -1 0.5240018367767334 
263    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
264    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
265    0.94545623527015976 0.055611053633407008 0.075087717576030735  0         -1 -1 0.86701524257659912 
266    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
267    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
268    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
269    0.94545623527015976 0.53540367974116698 0.022720032563288327  0         -1 -0.46050345897674561 1 
270    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
271    0.94545623527015976 0.43243092724590237 0.022720032563293184  0         -1 -0.57592427730560303 1 
272    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
273    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
274    0.94545623527015976 0.055681961823334368 0.022720032563336608  0         -1 -1 1 
