0 2054  0 0   169.793 0.000121405
100 11977  0 0   527.768 5.05372e-05
200 20437  0 0   756.768 2.74398e-05
300 27281  0 0   922.855 1.88781e-05
400 30035  0 0   984.781 1.7335e-05
500 34555  0 0   1082.37 1.54821e-05
600 39646  0 0   1189.47 1.35356e-05
700 43174  0 0   1262.27 1.18217e-05
800 48592  0 0   1368.21 1.02281e-05
900 53933  0 0   1468.61 9.22228e-06
1000 58690  0 0   1557.4 8.03468e-06
1100 61306  0 0   1604.56 7.62563e-06
1200 62001  0 0   1616.39 7.64347e-06
1300 62230  0 0   1620.11 7.68131e-06
1400 63610  0 0   1643.72 7.75654e-06
1500 67480  0 0   1710.45 7.86597e-06
1600 68620  0 0   1729.4 7.94145e-06
1700 69257  0 0   1740.13 7.92625e-06
1800 69926  0 0   1751.14 7.86356e-06
1900 70241  0 0   1756.32 7.86212e-06
