0 2124  0 0   173.363 0.000138249
100 11431  0 0   511.093 4.85489e-05
200 19462  0 0   732.227 2.80766e-05
300 26564  0 0   906.984 1.88527e-05
400 32421  0 0   1040.6 1.48837e-05
500 36578  0 0   1127.93 1.38779e-05
600 39679  0 0   1190.51 1.36206e-05
700 43593  0 0   1269.02 1.24537e-05
800 49395  0 0   1382.47 1.03709e-05
900 51103  0 0   1414.79 9.95638e-06
1000 51773  0 0   1426.87 9.96421e-06
1100 54210  0 0   1471.3 9.83639e-06
1200 59060  0 0   1561.24 8.69016e-06
1300 61692  0 0   1609.57 8.04893e-06
1400 62179  0 0   1617.67 8.07099e-06
1500 62251  0 0   1618.75 8.10639e-06
1600 62353  0 0   1620.3 8.15676e-06
1700 63178  0 0   1634.3 8.34262e-06
1800 67365  0 0   1705.32 8.60021e-06
1900 69946  0 0   1751.69 7.87838e-06
