0    0.64426656872453614 0.87022458381603074 0.36728025961588884  0         -0.32221674919128418 0.25439321994781494 0.25172567367553711 
1    0.78350857464920143 0.40269728317779319 0.38238674548571128  0         -0.63429152965545654 -0.42603522539138794 0.22301721572875977 
2    0.28154888389675009 0.76695909377958249 0.27885934473998247  0         0.48807322978973389 0.54310572147369385 0.42451643943786621 
3    0.37945490608924343 0.07819200876869685 0.59352926295284092  0         0.26916515827178955 -0.33851331472396851 -0.17665457725524902 
4    0.49372336758232971 0.65393489498343538 0.3419160127840567  0         0.014083385467529297 0.17869687080383301 0.30147576332092285 
5    0.27039468767627667 0.875582509159466 0.39127113867456131  0         0.51296842098236084 0.67815697193145752 0.20642805099487305 
6    0.57889063113837824 0.84273594724957646 0.57828115083033482  0         -0.17586684226989746 0.29642415046691895 -0.14756870269775391 
7    0.20804103768439544 0.063085456978482765 0.72813922649829121  0         0.65288496017456055 -0.16420638561248779 -0.43861067295074463 
8    0.20804103768439544 0.063085456978482765 0.72813922649829121  0         0.65288496017456055 -0.16420638561248779 -0.43861067295074463 
9    0.63128866526431893 0.2502901251648072 0.38238674548571128  0         -0.29303604364395142 -0.42603522539138794 0.22301721572875977 
10    0.054543764729840516 0.72042594272975913 0.54343976324474652  0         1 0.74729561805725098 -0.082440018653869629 
11    0.94545623527015943 0.055483172454832745 0.35379481258162604  0         -1 -1 0.27845323085784912 
12    0.93489812297788344 0.20127106803068021 0.70201222120804174  0         -0.97576993703842163 -0.82332128286361694 -0.38656622171401978 
13    0.41618085518287257 0.94007067830341318 0.43067678374278845  0         0.1871185302734375 0.58842146396636963 0.13133549690246582 
14    0.41618085518287257 0.94007067830341318 0.43067678374278845  0         0.1871185302734375 0.58842146396636963 0.13133549690246582 
15    0.054543764729840516 0.58728697754761894 0.47985844673294514  0         1 0.59777748584747314 0.037798285484313965 
16    0.68138292886231133 0.4361587646610065 0.30914546481103455  0         -0.40483862161636353 -0.27367502450942993 0.36472773551940918 
17    0.94545623527015943 0.94013979836274331 0.76416582468556327  0         -1 -0.0056288838386535645 -0.51247513294219971 
18    0.66528960420555672 0.92977862378743203 0.4634396498154818  0         -0.36865711212158203 0.29772520065307617 0.069158196449279785 
19    0.94545623527015943 0.055489979530403723 0.3203601248898279  0         -1 -1 0.34321749210357666 
20    0.054543764729840516 0.94442296070387144 0.11580009000331717  0         1 1 0.77074956893920898 
21    0.054543764729840516 0.55684799017436515 0.50318070561134332  0         1 0.56441617012023926 -0.0057649612426757812 
22    0.41618085518287257 0.85798101517574177 0.13075484743795326  0         0.1871185302734375 0.49523293972015381 0.73684835433959961 
23    0.77015786986281465 0.35980863401732155 0.97727996749278268  0         -0.60355997085571289 -0.4593275785446167 -1 
24    0.85010528953272668 0.33480671479742136 0.51749198725693824  0         -0.78422689437866211 -0.57696366310119629 -0.033002257347106934 
25    0 0 0  0         -0.39344018697738647 -0.82300496101379395 -0.26824569702148438 
26    0.72335962682802979 0.2647380219105388 0.027618062557622482  0         -0.49852865934371948 -0.51342964172363281 0.98691999912261963 
27    0.76615080943734948 0.3852315926340516 0.38238674548571128  0         -0.59497791528701782 -0.42603522539138794 0.22301721572875977 
28    0.94545623527015943 0.67764386559210954 0.44017509009660383  0         -1 -0.30223214626312256 0.11328494548797607 
29    0.94545623527015943 0.67764415258002719 0.45127142424687178  0         -1 -0.30223214626312256 0.092399477958679199 
30    0.46099706067457435 0.5138790537902429 0.022720032563282082  0         0.087466239929199219 0.058842778205871582 1 
31    0.054543764729840516 0.94442296070387144 0.11580009000331717  0         1 1 0.77074956893920898 
32    0.054543764729840516 0.94442296070387144 0.11580009000331717  0         1 1 0.77074956893920898 
33    0.054543764729840516 0.94442296070387144 0.11580009000331717  0         1 1 0.77074956893920898 
34    0.94545623527015943 0.055483172454832745 0.35379481258162604  0         -1 -1 0.27845323085784912 
35    0.27351731649948885 0.79527400932711778 0.9772799674927819  0         0.50576508045196533 0.58352780342102051 -1 
36    0.46458323563521803 0.05636052460623181 0.82795385826715018  0         0.079376339912414551 -0.4593275785446167 -0.64628076553344727 
37    0.054543764729840516 0.58728697754761894 0.47985844673294514  0         1 0.59777748584747314 0.037798285484313965 
38    0.62412659357738731 0.52117958583889556 0.39703029070162771  0         -0.27681922912597656 -0.11462855339050293 0.19510543346405029 
