0    0.21426725176603592 0.89129953104332715 0.92573556452042505  0         0.63860607147216797 0.75877463817596436 -0.86930882930755615 
1    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
2    0.53183050201679249 0.35815477123342992 0.58143952545078537  0         -0.071462690830230713 -0.19373750686645508 -0.15389257669448853 
3    0.35752321831705425 0.55536325828346944 0.022720032563283064  0         0.31800508499145508 0.22095775604248047 1 
4    0.25122256260318848 0.61341317653436889 0.074675945365008295  0         0.55590677261352539 0.40527904033660889 0.86821746826171875 
5    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
6    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
7    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
8    0.71934364906742743 0.25351707154820863 0.7543769050994783  0         -0.48988497257232666 -0.52106845378875732 -0.49155271053314209 
9    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
10    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
11    0.3705017339403282 0.19760867454110942 0.15778106746974202  0         0.28851163387298584 -0.19373750686645508 0.67692828178405762 
12    0.41125273251443178 0.24972092828629436 0.029135078784439373  0         0.19759941101074219 -0.18140751123428345 0.98327898979187012 
13    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
14    0.23206817146464992 0.12217991602340757 0.19262503634728961  0         0.59887325763702393 -0.12377816438674927 0.60198783874511719 
15    0.13483960751015395 0.43066032595166526 0.24366021283693784  0         0.81765007972717285 0.33185684680938721 0.49580681324005127 
16    0.45741098194980617 0.28401207022135644 0.12192536049079571  0         0.094903826713562012 -0.19373750686645508 0.75658762454986572 
17    0.24988561846051988 0.28826985150674778 0.074675945365003327  0         0.55923330783843994 0.042884111404418945 0.86821746826171875 
18    0.21426725176603592 0.71829886323339931 0.92573556452042693  0         0.63860607147216797 0.56429135799407959 -0.86930882930755615 
19    0.31727635874418703 0.26381476930752412 0.12324389017992431  0         0.40777409076690674 -0.060289859771728516 0.75377607345581055 
20    0.35752321831705425 0.49178841814084878 0.52014155326618561  0         0.31800508499145508 0.15035271644592285 -0.038093090057373047 
21    0.45561798144097704 0.064289931010331813 0.12192536049079813  0         0.098899126052856445 -0.43968987464904785 0.75658762454986572 
22    0.48655013423232163 0.31303287400150315 0.12192536049079571  0         0.030035138130187988 -0.19373750686645508 0.75658762454986572 
23    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
24    0.67646644850562154 0.26864465586834929 0.87499481817045854  0         -0.39433413743972778 -0.4563300609588623 -0.75008696317672729 
25    0.34186568326486244 0.47609841683787202 0.26837177757254455  0         0.3525993824005127 0.15035271644592285 0.44606864452362061 
26    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
27    0.49103339401397628 0.31750043162694275 0.12192536049079571  0         0.020316481590270996 -0.19373750686645508 0.75658762454986572 
28    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
29    0.45561798144097704 0.064289931010331813 0.12192536049079813  0         0.098899126052856445 -0.43968987464904785 0.75658762454986572 
30    0.054543764729840516 0.94431809069046257 0.97727996749277724  0         1 1 -1 
31    0 0 0  0         0.2104872465133667 -0.42646563053131104 0.69358682632446289 
32    0.52196790221121758 0.058315277992846498 0.97727996749278234  0         -0.048937022686004639 -0.52106845378875732 -1 
33    0.24988561846051988 0.28826985150674778 0.074675945365003327  0         0.55923330783843994 0.042884111404418945 0.86821746826171875 
34    0.67646644850562154 0.46794420714505702 0.88419990999692355  0         -0.39433413743972778 -0.2333185076713562 -0.77118855714797974 
35    0 0 0  0         0.2104872465133667 -0.40756326913833618 0.39760828018188477 
