0 2970  0 0   217.129 8.98673e-05
100 80576  0 0   1928.99 5.1991e-06
200 131199  0 0   2689.78 2.83443e-06
300 167659  0 0   3181.65 2.00623e-06
400 194695  0 0   3525.26 1.5884e-06
500 216203  0 0   3788.14 1.33633e-06
600 233423  0 0   3992.95 1.17148e-06
700 248011  0 0   4162.48 1.05246e-06
800 260451  0 0   4304.5 9.6288e-07
900 270966  0 0   4422.53 8.9632e-07
1000 280324  0 0   4526.24 8.4429e-07
1100 288608  0 0   4617.07 7.99841e-07
1200 295997  0 0   4697.71 7.6022e-07
1300 302627  0 0   4769.27 7.29926e-07
1400 308594  0 0   4833.18 7.04365e-07
1500 314161  0 0   4892.36 6.80393e-07
1600 319192  0 0   4945.49 6.60181e-07
1700 323752  0 0   4993.51 6.41537e-07
1800 328044  0 0   5038.37 6.26297e-07
1900 332032  0 0   5079.92 6.12603e-07
