0    0 0 0  0         0.96973490715026855 -0.85294079780578613 -0.12162035703659058 
1    0 0 0  0         0.28375732898712158 -0.68122637271881104 0.36206984519958496 
2    0 0 0  0         -0.6920936107635498 0.63407289981842041 -0.27572858333587646 
3    0.42559015580236836 0.34332542855196418 0.14057241603731327  0         0.1659473180770874 -0.092294394969940186 0.71490788459777832 
4    0 0 0  0         -0.5971415638923645 0.25733959674835205 -0.43646395206451416 
5    0.21337765932335173 0.26147063495105766 0.14732791055455913  0         0.64103078842163086 0.053818821907043457 0.700447678565979 
6    0.92697318813178409 0.41629096645079894 0.87587592767127664  0         -0.95784169435501099 -0.57303726673126221 -0.75161057710647583 
7    0 0 0  0         0.98143541812896729 -0.39583444595336914 0.74695718288421631 
8    0.45606622904478855 0.11401220333364151 0.22707980211465542  0         0.098105788230895996 -0.38431406021118164 0.53023266792297363 
9    0 0 0  0         0.98668277263641357 -0.41641616821289062 0.20262324810028076 
10    0 0 0  0         0.43174517154693604 -0.4379042387008667 0.43737494945526123 
11    0 0 0  0         0.17607975006103516 -0.54599308967590332 -0.25251418352127075 
12    0.56051765845518597 0.31442145029104546 0.26538677743780431  0         -0.13499587774276733 -0.27521264553070068 0.45246565341949463 
13    0.14325079012153827 0.85238158772536632 0.11885696563680698  0         0.79930257797241211 0.79452991485595703 0.76358067989349365 
14    0 0 0  0         0.58375227451324463 -0.83803564310073853 -0.71097481250762939 
15    0.84168530471101421 0.69315460521569727 0.39598258795299857  0         -0.76470601558685303 -0.16707473993301392 0.19655179977416992 
16    0 0 0  0         0.91903793811798096 -0.41295462846755981 -0.26711577177047729 
17    0.87356649292005162 0.77869713863789347 0.28739346888967343  0         -0.8367270827293396 -0.10678106546401978 0.40809130668640137 
18    0.20670713437597496 0.90584729198471869 0.91620491730313913  0         0.65566635131835938 0.78423476219177246 -0.84592145681381226 
19    0.79284824247239072 0.71540841769612173 0.46502777399617384  0         -0.65465539693832397 -0.086617708206176758 0.066374659538269043 
20    0.27084075108972588 0.85833956833416691 0.64309836735475456  0         0.51224172115325928 0.65777552127838135 -0.27184844017028809 
21    0 0 0  0         0.71738338470458984 0.99265074729919434 0.4645226001739502 
22    0.91066640452808745 0.40957980593258136 0.02272003256329249  0         -0.92072975635528564 -0.56215697526931763 1 
23    0.83148633994160814 0.2154032170579224 0.17715510726759079  0         -0.7422444224357605 -0.69009673595428467 0.63517093658447266 
24    0.73540332490670546 0.58530966621607483 0.18462923786448401  0         -0.52615594863891602 -0.16776663064956665 0.61872565746307373 
25    0.12820278429132709 0.078818472667582046 0.64930876106114532  0         0.83272647857666016 -0.055822491645812988 -0.28437644243240356 
26    0 0 0  0         0.92185020446777344 -0.23876619338989258 -0.37559622526168823 
27    0.13660996437924497 0.52380749027793261 0.044167200712568896  0         0.81449389457702637 0.43428361415863037 0.9437408447265625 
28    0 0 0  0         -0.078736782073974609 -0.63490891456604004 -0.83766084909439087 
29    0.72335962682803012 0.40936664689269764 0.09728033172768849  0         -0.49909681081771851 -0.35106796026229858 0.8144838809967041 
30    0 0 0  0         -0.57813435792922974 0.80729115009307861 -0.59702980518341064 
31    0 0 0  0         0.55470049381256104 -0.36664098501205444 0.75466585159301758 
32    0 0 0  0         0.85238349437713623 -0.8930925726890564 0.12917780876159668 
33    0.67914826857857935 0.71928444274373771 0.73411608251976945  0         -0.40011703968048096 0.044632911682128906 -0.45056945085525513 
34    0.46682463992369033 0.4426555837133217 0.87190366342749981  0         0.074130892753601074 -0.027173757553100586 -0.7426447868347168 
35    0.44441239237253677 0.21500048097877994 0.16834588191432845  0         0.12421572208404541 -0.25727474689483643 0.65408623218536377 
36    0.48296356291183268 0.095484136484461829 0.6456876076573741  0         0.038230538368225098 -0.43519556522369385 -0.27671527862548828 
37    0 0 0  0         0.81405842304229736 -0.26238584518432617 0.06381833553314209 
38    0 0 0  0         0.16732347011566162 -0.5468672513961792 -0.99469012022018433 
39    0.62860303643293192 0.24852233686892478 0.26091906569009815  0         -0.28674685955047607 -0.42499291896820068 0.46100735664367676 
40    0 0 0  0         0.68955111503601074 -0.20800620317459106 -0.77079081535339355 
41    0.90537302156412502 0.14058949471834672 0.12588721650853291  0         -0.90898454189300537 -0.85776442289352417 0.74755501747131348 
42    0.11052051265200477 0.44272152393024516 0.77679362741314939  0         0.87313997745513916 0.37280583381652832 -0.53841507434844971 
43    0 0 0  0         0.26230204105377197 0.64770495891571045 0.17094528675079346 
44    0 0 0  0         -0.28567945957183838 0.77546632289886475 0.48802864551544189 
45    0 0 0  0         0.1360783576965332 -0.87021070718765259 0.21514260768890381 
46    0 0 0  0         0.73931622505187988 0.90507853031158447 -0.71531510353088379 
47    0.47130754226634491 0.28534350592009744 0.80122348481228123  0         0.063891291618347168 -0.20784485340118408 -0.58936905860900879 
48    0.4206613066106662 0.52723367951355171 0.26687863046012739  0         0.17739927768707275 0.11879825592041016 0.44871878623962402 
49    0.18227074936355414 0.78597793910872438 0.33162841121757014  0         0.71145141124725342 0.67639744281768799 0.32132256031036377 
50    0.15299624945492679 0.69242899369374333 0.60768233375396896  0         0.77683162689208984 0.60379123687744141 -0.20426088571548462 
51    0 0 0  0         0.04677128791809082 -0.86841952800750732 0.87022292613983154 
52    0.85896316514932702 0.67486695114298645 0.33676717797568045  0         -0.80370473861694336 -0.20687252283096313 0.31054270267486572 
53    0.49193005067169854 0.24524501565439208 0.42751366650147993  0         0.017941117286682129 -0.27647262811660767 0.13721227645874023 
54    0 0 0  0         -0.050894975662231445 -0.5303153395652771 -0.2459225058555603 
55    0 0 0  0         -0.10601711273193359 -0.6547202467918396 -0.30760324001312256 
56    0 0 0  0         0.025877475738525391 -0.53311812877655029 0.27455985546112061 
57    0 0 0  0         -0.58454877138137817 0.79744017124176025 0.46529746055603027 
58    0.89124641112517045 0.096343685696543307 0.4033217516105097  0         -0.87693649530410767 -0.89239120483398438 0.18340325355529785 
59    0.24320220878776122 0.30470617487352225 0.63635611565451322  0         0.57408595085144043 0.068547487258911133 -0.25945562124252319 
60    0 0 0  0         -0.7441025972366333 -0.99435549974441528 0.20942246913909912 
61    0 0 0  0         0.49184083938598633 -0.64709818363189697 0.090032815933227539 
62    0 0 0  0         -0.32288146018981934 0.73139357566833496 -0.068365573883056641 
63    0 0 0  0         0.20044219493865967 0.74077868461608887 0.60373973846435547 
64    0 0 0  0         -0.71355688571929932 0.67719578742980957 0.79544627666473389 
65    0 0 0  0         0.56092846393585205 -0.41453659534454346 0.80956459045410156 
66    0 0 0  0         0.33821845054626465 -0.68762797117233276 0.84077644348144531 
67    0 0 0  0         -0.2373538613319397 0.87138032913208008 0.12645995616912842 
68    0 0 0  0         0.41456234455108643 -0.62146294116973877 -0.53942358493804932 
69    0.47175583886979583 0.41089436643408173 0.074675945365003438  0         0.062509894371032715 -0.067718148231506348 0.86799657344818115 
70    0 0 0  0         0.9044806957244873 -0.4787413477897644 -0.14536124467849731 
71    0.60352905954540959 0.85543724233545004 0.97313869836988021  0         -0.23107379674911499 0.28291726112365723 -0.9887816309928894 
72    0 0 0  0         0.84902358055114746 -0.70273792743682861 -0.33457481861114502 
73    0.20848569465526287 0.66790345183838939 0.85267208944524264  0         0.65211331844329834 0.51371490955352783 -0.70030379295349121 
