0.0545438,0.931138,0.02272,0.945456,0.0556819,0.97728,0.76526,0.790017,0.02272,0.62144,0.204172,0.97728,0.0545438,0.944318,0.02272,0.936658,0.0556726,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.788401,0.776716,0.97728,0.202262,0.625863,0.024598,0.940618,0.0569941,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.931138,0.02272,0.945456,0.0864582,0.97728,0.718005,0.830767,0.02272,0.616963,0.15276,0.97728,0.0545438,0.944318,0.02272,0.936658,0.0556726,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.833704,0.711786,0.97728,0.166296,0.620908,0.02272,0.945456,0.0714996,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.931138,0.02272,0.945456,0.0556819,0.97728,0.733619,0.945023,0.02272,0.616963,0.15276,0.97728,0.0545438,0.944318,0.02272,0.936658,0.0556726,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.945456,0.715025,0.97728,0.166296,0.620908,0.02272,0.940618,0.0569941,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.931138,0.02272,0.945456,0.0864582,0.97728,0.733619,0.945023,0.02272,0.630841,0.116983,0.97728,0.0545438,0.944318,0.02272,0.936658,0.0556726,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.945456,0.715025,0.97728,0.118475,0.635158,0.02272,0.945456,0.0714996,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.931138,0.02272,0.945456,0.0864582,0.97728,0.733619,0.945023,0.02272,0.616963,0.15276,0.97728,0.0545438,0.944318,0.02272,0.936658,0.0556726,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.945456,0.715025,0.97728,0.166296,0.620908,0.02272,0.945456,0.0714996,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.931138,0.02272,0.945456,0.0864582,0.97728,0.733619,0.945023,0.02272,0.618307,0.272203,0.97728,0.069504,0.931154,0.02272,0.945456,0.0556647,0.967817,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.945456,0.715025,0.97728,0.277533,0.621919,0.02272,0.940618,0.0851325,0.97728,0.0545438,0.944339,0.0344811,
0.0545438,0.944318,0.02272,0.945456,0.0556819,0.97728,0.945456,0.737296,0.02272,0.323534,0.13963,0.97728,0.0545438,0.944318,0.02272,0.87047,0.0599947,0.97728,
0.945456,0.0556765,0.974649,0.0545438,0.944318,0.02272,0.763924,0.944176,0.97728,0.143694,0.336816,0.02272,0.940618,0.0569941,0.97728,0.0545438,0.872975,0.02272,
