#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -2.40253 0.147581 -2.3257
0.01 -2.43714 0.149603 -2.35979
0.02 -2.47041 0.155883 -2.39144
0.03 -2.50246 0.166195 -2.42093
0.04 -2.53348 0.180232 -2.44857
0.05 -2.56362 0.197613 -2.47471
0.06 -2.59307 0.217891 -2.49972
0.07 -2.62202 0.240559 -2.52393
0.08 -2.65065 0.265062 -2.54768
0.09 -2.67913 0.290811 -2.57128
0.1 -2.70764 0.317191 -2.595
0.11 -2.73633 0.343582 -2.6191
0.12 -2.76534 0.369365 -2.64378
0.13 -2.79476 0.393942 -2.66923
0.14 -2.82469 0.416748 -2.69558
0.15 -2.85517 0.43726 -2.72292
0.16 -2.88622 0.455017 -2.75131
0.17 -2.91782 0.46962 -2.78076
0.18 -2.9499 0.480752 -2.81122
0.19 -2.98235 0.488176 -2.84261
0.2 -3.01505 0.491744 -2.8748
0.21 -3.0478 0.491404 -2.9076
0.22 -3.08039 0.487192 -2.9408
0.23 -3.11256 0.479241 -2.97411
0.24 -3.14402 0.467768 -3.00723
0.25 -3.17444 0.453078 -3.03982
0.26 -3.20349 0.43555 -3.0715
0.27 -3.23081 0.415631 -3.10187
0.28 -3.256 0.393824 -3.13049
0.29 -3.27869 0.370679 -3.15693
0.3 -3.29849 0.346777 -3.18072
0.31 -3.31502 0.32272 -3.20141
0.32 -3.32791 0.299114 -3.21853
0.33 -3.33681 0.276556 -3.23163
0.34 -3.3414 0.255624 -3.24028
0.35 -3.34138 0.236859 -3.24404
0.36 -3.3365 0.220758 -3.24253
0.37 -3.32657 0.20776 -3.23541
0.38 -3.31142 0.19824 -3.22237
0.39 -3.29095 0.192499 -3.2032
0.4 -3.26512 0.190762 -3.17777
0.41 -3.23395 0.193171 -3.14605
0.42 -3.19754 0.199789 -3.10814
0.43 -3.15601 0.210595 -3.06423
0.44 -3.10961 0.225491 -3.01463
0.45 -3.05859 0.244304 -2.95974
0.46 -3.00332 0.266794 -2.90002
0.47 -2.9442 0.292661 -2.836
0.48 -2.88168 0.321552 -2.76827
0.49 -2.8163 0.353072 -2.69746
0.5 -2.74862 0.386793 -2.62424
0.51 -2.67925 0.422264 -2.54929
0.52 -2.60884 0.45902 -2.47334
0.53 -2.53807 0.496593 -2.39714
0.54 -2.46765 0.53452 -2.32143
0.55 -2.39828 0.572347 -2.24697
0.56 -2.33069 0.609643 -2.17453
0.57 -2.26561 0.645998 -2.10486
0.58 -2.20375 0.681033 -2.03871
0.59 -2.14582 0.714398 -1.97677
0.6 -2.09246 0.745779 -1.91975
0.61 -2.04434 0.774895 -1.86828
0.62 -2.00204 0.801499 -1.82299
0.63 -1.96611 0.825379 -1.78441
0.64 -1.93705 0.846352 -1.75305
0.65 -1.91528 0.864267 -1.72935
0.66 -1.90117 0.878999 -1.71366
0.67 -1.895 0.890449 -1.70627
0.68 -1.897 0.898542 -1.70742
0.69 -1.90729 0.903224 -1.71721
0.7 -1.92592 0.90446 -1.73571
0.71 -1.95286 0.902236 -1.76289
0.72 -1.98798 0.896555 -1.7986
0.73 -2.03107 0.887442 -1.84266
0.74 -2.08183 0.874942 -1.89476
0.75 -2.13989 0.859119 -1.95451
0.76 -2.20477 0.840065 -2.02146
0.77 -2.27593 0.817895 -2.09506
0.78 -2.35277 0.792754 -2.17469
0.79 -2.43458 0.764818 -2.25967
0.8 -2.52061 0.734295 -2.34923
0.81 -2.61007 0.701427 -2.44257
0.82 -2.70209 0.666493 -2.53881
0.83 -2.79577 0.629808 -2.63705
0.84 -2.89019 0.591722 -2.73634
0.85 -2.98439 0.552619 -2.83571
0.86 -3.0774 0.512913 -2.93416
0.87 -3.16825 0.473046 -3.0307
0.88 -3.25598 0.43348 -3.12431
0.89 -3.33964 0.394696 -3.21399
0.9 -3.41831 0.357179 -3.29878
0.91 -3.49109 0.321418 -3.3777
0.92 -3.55715 0.28789 -3.44984
0.93 -3.61569 0.257057 -3.51429
0.94 -3.666 0.229353 -3.57022
0.95 -3.70741 0.205176 -3.61681
0.96 -3.73934 0.18488 -3.65335
0.97 -3.7613 0.168766 -3.67914
0.98 -3.77287 0.157078 -3.69361
0.99 -3.77374 0.149992 -3.69628
