#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -3.63773 0.190908 -3.55034
0.01 -3.62561 0.193171 -3.53771
0.02 -3.60481 0.199932 -3.51538
0.03 -3.57547 0.211084 -3.48358
0.04 -3.5378 0.226459 -3.44262
0.05 -3.49206 0.245824 -3.3929
0.06 -3.43861 0.268891 -3.3349
0.07 -3.37784 0.29532 -3.26915
0.08 -3.3102 0.324732 -3.19623
0.09 -3.23621 0.356709 -3.11676
0.1 -3.15642 0.390811 -3.03139
0.11 -3.07141 0.426579 -2.94079
0.12 -2.98182 0.463546 -2.84565
0.13 -2.88829 0.501243 -2.74669
0.14 -2.7915 0.539212 -2.64463
0.15 -2.69212 0.577005 -2.54019
0.16 -2.59084 0.614199 -2.4341
0.17 -2.48835 0.650391 -2.32705
0.18 -2.38532 0.685211 -2.21976
0.19 -2.28241 0.718317 -2.11291
0.2 -2.18027 0.749404 -2.00713
0.21 -2.0795 0.778197 -1.90307
0.22 -1.98068 0.804457 -1.8013
0.23 -1.88435 0.827975 -1.70236
0.24 -1.79101 0.848574 -1.60677
0.25 -1.70111 0.866106 -1.51498
0.26 -1.61505 0.880448 -1.42739
0.27 -1.53319 0.891505 -1.34435
0.28 -1.45583 0.899202 -1.26617
0.29 -1.3832 0.903484 -1.19309
0.3 -1.31549 0.904318 -1.1253
0.31 -1.25285 0.901689 -1.06294
0.32 -1.19535 0.895603 -1.00607
0.33 -1.14301 0.886082 -0.954746
0.34 -1.09581 0.873173 -0.908926
0.35 -1.05368 0.856943 -0.868539
0.36 -1.01649 0.837483 -0.833464
0.37 -0.98408 0.814914 -0.803535
0.38 -0.956237 0.789383 -0.778543
0.39 -0.93272 0.761072 -0.758241
0.4 -0.913252 0.730194 -0.742349
0.41 -0.897525 0.696999 -0.730552
0.42 -0.88521 0.661774 -0.722511
0.43 -0.875953 0.624842 -0.717859
0.44 -0.869388 0.586563 -0.716213
0.45 -0.865133 0.547331 -0.71717
0.46 -0.862803 0.507568 -0.720316
0.47 -0.862008 0.467725 -0.725227
0.48 -0.862358 0.428273 -0.731473
0.49 -0.863471 0.389696 -0.73862
0.5 -0.864974 0.352483 -0.746233
0.51 -0.866505 0.317119 -0.753878
0.52 -0.86772 0.284077 -0.761123
0.53 -0.868296 0.253805 -0.767538
0.54 -0.86793 0.226718 -0.772701
0.55 -0.866346 0.203186 -0.776194
0.56 -0.863293 0.183526 -0.777613
0.57 -0.85855 0.167991 -0.776577
0.58 -0.851928 0.156764 -0.772741
0.59 -0.843265 0.149952 -0.765818
0.6 -0.832434 0.147579 -0.755602
0.61 -0.819339 0.149583 -0.741987
0.62 -0.803915 0.15582 -0.724967
0.63 -0.786129 0.166058 -0.704628
0.64 -0.765975 0.179986 -0.681126
0.65 -0.74348 0.197218 -0.654662
0.66 -0.718695 0.217297 -0.625465
0.67 -0.691696 0.239711 -0.593775
0.68 -0.662581 0.263895 -0.55984
0.69 -0.631472 0.289253 -0.523908
0.7 -0.598505 0.315163 -0.486226
0.71 -0.563832 0.340995 -0.447042
0.72 -0.527618 0.366124 -0.406601
0.73 -0.490036 0.389944 -0.365145
0.74 -0.451268 0.411884 -0.322912
0.75 -0.411498 0.431418 -0.280133
0.76 -0.370911 0.44808 -0.237033
0.77 -0.329691 0.46147 -0.193828
0.78 -0.288019 0.47127 -0.150721
0.79 -0.246068 0.477246 -0.107902
0.8 -0.204006 0.479256 -0.0655496
0.81 -0.161989 0.477252 -0.0238218
0.82 -0.120161 0.471281 0.0171389
0.83 -0.078656 0.461487 0.0572097
0.84 -0.0375929 0.448102 0.0962879
0.85 0.00292292 0.431445 0.134292
0.86 0.0428008 0.411915 0.171162
0.87 0.0819647 0.389978 0.206861
0.88 0.120353 0.36616 0.241375
0.89 0.157919 0.341033 0.274715
0.9 0.194628 0.315201 0.306913
0.91 0.230459 0.289291 0.338031
0.92 0.265405 0.263931 0.368154
0.93 0.299467 0.239743 0.397394
0.94 0.332658 0.217325 0.425894
0.95 0.364998 0.19724 0.453821
0.96 0.396515 0.180003 0.481368
0.97 0.427243 0.166068 0.508746
0.98 0.457222 0.155824 0.536171
0.99 0.486492 0.149584 0.563845
