#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -2.38164 0.147619 -2.3048
0.01 -2.37102 0.149992 -2.29356
0.02 -2.35482 0.157077 -2.27556
0.03 -2.33316 0.168764 -2.251
0.04 -2.30619 0.184876 -2.2202
0.05 -2.2741 0.205169 -2.1835
0.06 -2.23712 0.229341 -2.14134
0.07 -2.19553 0.257039 -2.09413
0.08 -2.14965 0.287864 -2.04234
0.09 -2.09983 0.32138 -1.98644
0.1 -2.04644 0.357127 -1.92692
0.11 -1.98989 0.394623 -1.86425
0.12 -1.93061 0.433382 -1.79894
0.13 -1.86904 0.472914 -1.7315
0.14 -1.80564 0.51274 -1.66243
0.15 -1.74088 0.552394 -1.59223
0.16 -1.67522 0.591432 -1.52141
0.17 -1.60914 0.629438 -1.45046
0.18 -1.54309 0.666025 -1.37987
0.19 -1.47752 0.700839 -1.31009
0.2 -1.41288 0.733563 -1.24158
0.21 -1.34956 0.763915 -1.17476
0.22 -1.28798 0.791646 -1.11003
0.23 -1.22848 0.816545 -1.04776
0.24 -1.17142 0.83843 -0.988287
0.25 -1.11708 0.857153 -0.93192
0.26 -1.06575 0.87259 -0.878925
0.27 -1.01765 0.884646 -0.829537
0.28 -0.972972 0.89325 -0.783948
0.29 -0.931876 0.898352 -0.742313
0.3 -0.894476 0.89992 -0.704748
0.31 -0.860846 0.897947 -0.671326
0.32 -0.831022 0.892442 -0.642083
0.33 -0.804999 0.883434 -0.617017
0.34 -0.782737 0.870975 -0.596085
0.35 -0.764157 0.855137 -0.57921
0.36 -0.749147 0.836019 -0.566279
0.37 -0.737561 0.813744 -0.557145
0.38 -0.729222 0.788466 -0.551631
0.39 -0.723929 0.76037 -0.549531
0.4 -0.721453 0.729675 -0.550611
0.41 -0.721544 0.696634 -0.554615
0.42 -0.723935 0.661538 -0.561265
0.43 -0.728342 0.624713 -0.570264
0.44 -0.734471 0.586521 -0.581302
0.45 -0.742021 0.547357 -0.594053
0.46 -0.750683 0.507648 -0.608185
0.47 -0.760152 0.467844 -0.623354
0.48 -0.770121 0.428419 -0.639214
0.49 -0.780293 0.389857 -0.655416
0.5 -0.790377 0.352649 -0.671608
0.51 -0.800096 0.317282 -0.68744
0.52 -0.809187 0.284228 -0.702561
0.53 -0.817407 0.253939 -0.716623
0.54 -0.824531 0.226829 -0.729278
0.55 -0.830356 0.203271 -0.740185
0.56 -0.834704 0.183585 -0.74901
0.57 -0.837421 0.168025 -0.755439
0.58 -0.83838 0.156778 -0.759189
0.59 -0.837479 0.149954 -0.760031
0.6 -0.834646 0.14758 -0.757813
0.61 -0.829832 0.149602 -0.752476
0.62 -0.823018 0.155878 -0.744055
0.63 -0.814207 0.166184 -0.732676
0.64 -0.803428 0.180214 -0.718525
0.65 -0.790732 0.19759 -0.701829
0.66 -0.77619 0.217862 -0.682838
0.67 -0.759893 0.240525 -0.661806
0.68 -0.741947 0.265025 -0.638986
0.69 -0.722473 0.290771 -0.614627
0.7 -0.701602 0.317151 -0.588969
0.71 -0.679473 0.343541 -0.562248
0.72 -0.656232 0.369326 -0.534687
0.73 -0.632026 0.393905 -0.506502
0.74 -0.607004 0.416714 -0.477898
0.75 -0.581312 0.437231 -0.449066
0.76 -0.555091 0.454992 -0.420185
0.77 -0.528473 0.469601 -0.391418
0.78 -0.501583 0.480737 -0.362913
0.79 -0.474535 0.488167 -0.334797
0.8 -0.447428 0.491741 -0.30718
0.81 -0.42035 0.491407 -0.280149
0.82 -0.393372 0.487201 -0.253773
0.83 -0.366552 0.479255 -0.228096
0.84 -0.33993 0.467787 -0.20314
0.85 -0.313533 0.453102 -0.178907
0.86 -0.28737 0.435578 -0.155373
0.87 -0.261437 0.415661 -0.132494
0.88 -0.235718 0.393857 -0.110202
0.89 -0.210182 0.370713 -0.0884095
0.9 -0.184788 0.346812 -0.0670067
0.91 -0.159486 0.322754 -0.0458633
0.92 -0.134218 0.299145 -0.0248295
0.93 -0.108919 0.276585 -0.00373646
0.94 -0.0835214 0.255648 0.0176019
0.95 -0.0579542 0.236878 0.0393861
0.96 -0.0321465 0.220772 0.0618262
0.97 -0.00602859 0.207768 0.0851346
0.98 0.0204661 0.198243 0.109515
0.99 0.0473993 0.192499 0.135149
