#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -7.30716e-06 1.1 0.209754
0.01 0.00999063 1.1 0.219752
0.02 0.019988 1.1 0.22975
0.03 0.0299847 1.1 0.239746
0.04 0.0399805 1.1 0.249742
0.05 0.0499753 1.1 0.259737
0.06 0.0599687 1.1 0.26973
0.07 0.0699604 1.1 0.279722
0.08 0.0799502 1.1 0.289712
0.09 0.0899373 1.1 0.299699
0.1 0.0999214 1.1 0.309683
0.11 0.109902 1.1 0.319664
0.12 0.119877 1.1 0.329639
0.13 0.129847 1.1 0.339609
0.14 0.139811 1.1 0.349572
0.15 0.149765 1.1 0.359527
0.16 0.15971 1.1 0.369472
0.17 0.169643 1.1 0.379405
0.18 0.179561 1.1 0.389323
0.19 0.189462 1.1 0.399224
0.2 0.199342 1.1 0.409104
0.21 0.209198 1.1 0.418959
0.22 0.219024 1.1 0.428785
0.23 0.228815 1.1 0.438577
0.24 0.238565 1.1 0.448327
0.25 0.248267 1.1 0.458029
0.26 0.257912 1.1 0.467674
0.27 0.267491 1.1 0.477253
0.28 0.276993 1.1 0.486754
0.29 0.286404 1.1 0.496165
0.3 0.295711 1.1 0.505472
0.31 0.304897 1.09999 0.514658
0.32 0.313944 1.09999 0.523705
0.33 0.32283 1.09999 0.532591
0.34 0.331534 1.09998 0.541294
0.35 0.340027 1.09997 0.549787
0.36 0.348282 1.09996 0.558041
0.37 0.356266 1.09995 0.566024
0.38 0.363944 1.09993 0.573699
0.39 0.371275 1.09991 0.581028
0.4 0.378218 1.09988 0.587968
0.41 0.384724 1.09984 0.59447
0.42 0.390744 1.09978 0.600485
0.43 0.396221 1.09971 0.605955
0.44 0.401096 1.09961 0.610821
0.45 0.405306 1.09949 0.615019
0.46 0.408782 1.09933 0.61848
0.47 0.411452 1.09913 0.62113
0.48 0.41324 1.09886 0.622894
0.49 0.414067 1.09853 0.623689
0.5 0.413849 1.09811 0.62343
0.51 0.4125 1.09758 0.622031
0.52 0.409932 1.09691 0.619399
0.53 0.406054 1.09608 0.615441
0.54 0.400774 1.09506 0.610064
0.55 0.394001 1.09379 0.60317
0.56 0.385644 1.09225 0.594665
0.57 0.375613 1.09036 0.584454
0.58 0.363822 1.08808 0.572445
0.59 0.350189 1.08534 0.558548
0.6 0.334637 1.08204 0.542679
0.61 0.317095 1.07812 0.52476
0.62 0.297501 1.07348 0.504719
0.63 0.275804 1.06801 0.482493
0.64 0.251963 1.0616 0.458032
0.65 0.225951 1.05415 0.431294
0.66 0.197753 1.04551 0.402254
0.67 0.167372 1.03558 0.370899
0.68 0.134829 1.02421 0.337235
0.69 0.100161 1.01128 0.301286
0.7 0.0634265 0.996667 0.263093
0.71 0.0247047 0.980244 0.222719
0.72 -0.0159041 0.961904 0.180249
0.73 -0.0582772 0.941548 0.13579
0.74 -0.102269 0.919099 0.0894699
0.75 -0.147712 0.894499 0.0414434
0.76 -0.194416 0.867718 -0.00811343
0.77 -0.242168 0.838757 -0.0590007
0.78 -0.290734 0.80765 -0.110995
0.79 -0.339861 0.774471 -0.163853
0.8 -0.389276 0.739334 -0.217307
0.81 -0.438689 0.702398 -0.271071
0.82 -0.487798 0.663865 -0.324842
0.83 -0.536284 0.623983 -0.378299
0.84 -0.583822 0.583047 -0.431107
0.85 -0.630078 0.541389 -0.482919
0.86 -0.674715 0.499386 -0.53338
0.87 -0.717395 0.457445 -0.582126
0.88 -0.757785 0.416004 -0.628788
0.89 -0.795554 0.375521 -0.672995
0.9 -0.830386 0.33647 -0.714374
0.91 -0.861975 0.299327 -0.752553
0.92 -0.890032 0.264565 -0.78716
0.93 -0.91429 0.232641 -0.817825
0.94 -0.934505 0.203989 -0.844175
0.95 -0.950457 0.179007 -0.865839
0.96 -0.961958 0.15805 -0.882447
0.97 -0.968849 0.14142 -0.893637
0.98 -0.971005 0.129363 -0.899071
0.99 -0.968335 0.122056 -0.898462
