#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -9.0894e-07 1.1 0.209761
0.01 0.00999883 1.1 0.219761
0.02 0.0199985 1.1 0.22976
0.03 0.0299981 1.1 0.23976
0.04 0.0399976 1.1 0.249759
0.05 0.0499969 1.1 0.259759
0.06 0.0599961 1.1 0.269758
0.07 0.0699951 1.1 0.279757
0.08 0.0799938 1.1 0.289756
0.09 0.0899922 1.1 0.299754
0.1 0.0999902 1.1 0.309752
0.11 0.109988 1.1 0.31975
0.12 0.119985 1.1 0.329747
0.13 0.129981 1.1 0.339743
0.14 0.139976 1.1 0.349738
0.15 0.149971 1.1 0.359733
0.16 0.159964 1.1 0.369726
0.17 0.169956 1.1 0.379717
0.18 0.179945 1.1 0.389707
0.19 0.189933 1.1 0.399695
0.2 0.199918 1.1 0.40968
0.21 0.2099 1.1 0.419662
0.22 0.219879 1.1 0.42964
0.23 0.229853 1.1 0.439614
0.24 0.239822 1.1 0.449583
0.25 0.249784 1.1 0.459546
0.26 0.25974 1.1 0.469502
0.27 0.269688 1.1 0.47945
0.28 0.279626 1.1 0.489387
0.29 0.289553 1.1 0.499314
0.3 0.299466 1.1 0.509228
0.31 0.309365 1.09999 0.519126
0.32 0.319247 1.09999 0.529008
0.33 0.329108 1.09999 0.538869
0.34 0.338947 1.09998 0.548707
0.35 0.348759 1.09997 0.558519
0.36 0.358542 1.09997 0.568301
0.37 0.368292 1.09995 0.578049
0.38 0.378003 1.09993 0.587758
0.39 0.387671 1.09991 0.597424
0.4 0.39729 1.09988 0.607041
0.41 0.406856 1.09984 0.616602
0.42 0.416361 1.09978 0.626102
0.43 0.425798 1.09971 0.635532
0.44 0.435161 1.09962 0.644886
0.45 0.44444 1.09949 0.654154
0.46 0.453629 1.09933 0.663327
0.47 0.462717 1.09913 0.672396
0.48 0.471696 1.09887 0.68135
0.49 0.480555 1.09854 0.690177
0.5 0.489284 1.09812 0.698866
0.51 0.497872 1.09759 0.707404
0.52 0.506309 1.09693 0.715777
0.53 0.514582 1.0961 0.723972
0.54 0.522682 1.09508 0.731974
0.55 0.530595 1.09382 0.739767
0.56 0.538312 1.09229 0.747337
0.57 0.54582 1.09041 0.754666
0.58 0.55311 1.08814 0.761738
0.59 0.56017 1.08541 0.768536
0.6 0.566991 1.08213 0.775042
0.61 0.573565 1.07823 0.781241
0.62 0.579884 1.07361 0.787114
0.63 0.585941 1.06817 0.792646
0.64 0.591732 1.06179 0.797819
0.65 0.597252 1.05437 0.802617
0.66 0.602501 1.04578 0.807028
0.67 0.607478 1.03589 0.811036
0.68 0.612186 1.02458 0.814629
0.69 0.61663 1.01172 0.817798
0.7 0.620816 0.997171 0.820533
0.71 0.624756 0.980829 0.82283
0.72 0.628461 0.962577 0.824683
0.73 0.631946 0.942321 0.826092
0.74 0.63523 0.919981 0.827061
0.75 0.638333 0.895501 0.827595
0.76 0.64128 0.868851 0.827704
0.77 0.644096 0.840031 0.827403
0.78 0.646811 0.809076 0.826708
0.79 0.649456 0.776059 0.825645
0.8 0.652066 0.741093 0.824239
0.81 0.654675 0.704337 0.822525
0.82 0.657323 0.665992 0.820539
0.83 0.660048 0.626305 0.818327
0.84 0.66289 0.585568 0.815935
0.85 0.665893 0.544114 0.813421
0.86 0.669096 0.502316 0.810845
0.87 0.672544 0.460579 0.808275
0.88 0.676276 0.41934 0.805789
0.89 0.680333 0.379055 0.803468
0.9 0.684757 0.340194 0.801409
0.91 0.689584 0.303233 0.799717
0.92 0.69485 0.26864 0.798511
0.93 0.700588 0.236872 0.797927
0.94 0.70683 0.20836 0.798123
0.95 0.713602 0.183499 0.799275
0.96 0.720927 0.162644 0.801586
0.97 0.728826 0.146096 0.805271
0.98 0.737314 0.134098 0.810553
0.99 0.746402 0.126826 0.817628
