#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -2.41518 0.147568 -2.33835
0.01 -2.47503 0.14949 -2.3977
0.02 -2.53553 0.155548 -2.45665
0.03 -2.59677 0.165492 -2.51541
0.04 -2.65881 0.17899 -2.57419
0.05 -2.7217 0.195637 -2.63324
0.06 -2.78548 0.214963 -2.69275
0.07 -2.85015 0.236441 -2.7529
0.08 -2.91568 0.259501 -2.8138
0.09 -2.98201 0.283544 -2.87551
0.1 -3.04901 0.307955 -2.93802
0.11 -3.11654 0.332117 -3.00128
0.12 -3.18437 0.35543 -3.06514
0.13 -3.25225 0.377322 -3.1294
0.14 -3.31985 0.397263 -3.19379
0.15 -3.38678 0.414785 -3.25797
0.16 -3.45259 0.429484 -3.32152
0.17 -3.51679 0.441037 -3.38397
0.18 -3.57881 0.449207 -3.44477
0.19 -3.63804 0.45385 -3.50331
0.2 -3.69382 0.454916 -3.55893
0.21 -3.74545 0.452449 -3.61092
0.22 -3.79218 0.446585 -3.65852
0.23 -3.83325 0.437547 -3.70095
0.24 -3.86787 0.425634 -3.73739
0.25 -3.89527 0.411217 -3.76702
0.26 -3.91467 0.394717 -3.78901
0.27 -3.92529 0.376599 -3.80255
0.28 -3.92641 0.357354 -3.80685
0.29 -3.91736 0.337481 -3.80117
0.3 -3.89749 0.317472 -3.7848
0.31 -3.86627 0.297798 -3.75713
0.32 -3.82323 0.278891 -3.71761
0.33 -3.76799 0.261134 -3.66579
0.34 -3.7003 0.244846 -3.60134
0.35 -3.62002 0.230279 -3.52405
0.36 -3.52715 0.217605 -3.43386
0.37 -3.42181 0.20692 -3.33083
0.38 -3.30428 0.19824 -3.21523
0.39 -3.17497 0.191507 -3.08744
0.4 -3.03445 0.186594 -2.94806
0.41 -2.88345 0.183318 -2.79782
0.42 -2.72283 0.181447 -2.63764
0.43 -2.55362 0.180717 -2.46859
0.44 -2.37694 0.180846 -2.29189
0.45 -2.1941 0.18155 -2.10889
0.46 -2.00649 0.182556 -1.92104
0.47 -1.81562 0.18362 -1.72992
0.48 -1.62309 0.184536 -1.53718
0.49 -1.43059 0.18515 -1.34453
0.5 -1.23984 0.185366 -1.15374
0.51 -1.05266 0.185151 -0.966598
0.52 -0.870834 0.184536 -0.784919
0.53 -0.696196 0.183619 -0.610494
0.54 -0.530547 0.182553 -0.445094
0.55 -0.375658 0.181544 -0.290442
0.56 -0.233249 0.180837 -0.148199
0.57 -0.104966 0.180706 -0.019947
0.58 0.00763568 0.181437 0.0928265
0.59 0.103109 0.183314 0.188739
0.6 0.180132 0.186604 0.266527
0.61 0.237523 0.191543 0.325054
0.62 0.274256 0.198319 0.363322
0.63 0.289469 0.207064 0.380478
0.64 0.282479 0.217843 0.375827
0.65 0.25279 0.230647 0.348841
0.66 0.200096 0.245387 0.299169
0.67 0.124289 0.261898 0.226641
0.68 0.0254633 0.27994 0.131282
0.69 -0.0960879 0.2992 0.0133105
0.7 -0.23987 0.319305 -0.126856
0.71 -0.405193 0.339832 -0.288603
0.72 -0.591174 0.360317 -0.471121
0.73 -0.796745 0.380278 -0.673412
0.74 -1.02066 0.39922 -0.894296
0.75 -1.26152 0.416659 -1.13242
0.76 -1.51775 0.432136 -1.38627
0.77 -1.78765 0.445229 -1.6542
0.78 -2.06938 0.45557 -1.93439
0.79 -2.36102 0.462858 -2.22495
0.8 -2.66052 0.466865 -2.52387
0.81 -2.96578 0.46745 -2.82904
0.82 -3.27464 0.464559 -3.13832
0.83 -3.58487 0.458231 -3.44949
0.84 -3.89428 0.448596 -3.76032
0.85 -4.20063 0.435875 -4.06859
0.86 -4.50172 0.420373 -4.37205
0.87 -4.7954 0.402471 -4.66852
0.88 -5.07956 0.382617 -4.95585
0.89 -5.35218 0.361317 -5.23196
0.9 -5.61133 0.339119 -5.49487
0.91 -5.85521 0.316598 -5.74267
0.92 -6.08211 0.294347 -5.9736
0.93 -6.29049 0.272956 -6.186
0.94 -6.47897 0.253004 -6.37837
0.95 -6.64631 0.235038 -6.54935
0.96 -6.79148 0.219566 -6.69776
0.97 -6.91359 0.207043 -6.82259
0.98 -7.01199 0.19786 -6.92303
0.99 -7.08618 0.192339 -6.99847
