#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -2.40536 0.147567 -2.32853
0.01 -2.44568 0.149484 -2.36835
0.02 -2.48512 0.15553 -2.40625
0.03 -2.52381 0.165454 -2.44246
0.04 -2.56189 0.178923 -2.47729
0.05 -2.59951 0.19553 -2.51108
0.06 -2.63683 0.214803 -2.54414
0.07 -2.67399 0.236216 -2.57678
0.08 -2.71112 0.259197 -2.6093
0.09 -2.74837 0.283146 -2.64194
0.1 -2.78583 0.307448 -2.67493
0.11 -2.82359 0.331488 -2.70844
0.12 -2.86173 0.354664 -2.74262
0.13 -2.90025 0.376406 -2.77755
0.14 -2.93916 0.396189 -2.81327
0.15 -2.97841 0.413543 -2.8498
0.16 -3.01792 0.42807 -2.88706
0.17 -3.05755 0.439451 -2.92496
0.18 -3.09713 0.447453 -2.96334
0.19 -3.13644 0.451937 -3.00199
0.2 -3.17523 0.452858 -3.04064
0.21 -3.21318 0.450266 -3.07897
0.22 -3.24995 0.444302 -3.11664
0.23 -3.28516 0.435195 -3.15323
0.24 -3.31841 0.423249 -3.18829
0.25 -3.34923 0.408837 -3.22135
0.26 -3.37718 0.392385 -3.2519
0.27 -3.40178 0.37436 -3.27941
0.28 -3.42253 0.35525 -3.30332
0.29 -3.43895 0.335554 -3.32309
0.3 -3.45055 0.31576 -3.33816
0.31 -3.45686 0.29633 -3.34799
0.32 -3.45744 0.277689 -3.35205
0.33 -3.45187 0.260207 -3.34985
0.34 -3.43976 0.244189 -3.34093
0.35 -3.42078 0.229869 -3.32489
0.36 -3.39462 0.217403 -3.30137
0.37 -3.36107 0.206862 -3.2701
0.38 -3.31993 0.198243 -3.23088
0.39 -3.27111 0.191463 -3.18359
0.4 -3.21455 0.186372 -3.1282
0.41 -3.15028 0.182763 -3.06478
0.42 -3.07839 0.180382 -2.99345
0.43 -2.99906 0.178945 -2.91446
0.44 -2.91252 0.178151 -2.8281
0.45 -2.81906 0.177701 -2.73475
0.46 -2.71906 0.177313 -2.63484
0.47 -2.61294 0.176737 -2.52885
0.48 -2.50117 0.175766 -2.41732
0.49 -2.3843 0.174254 -2.30081
0.5 -2.26288 0.172118 -2.17991
0.51 -2.13754 0.169346 -2.05523
0.52 -2.0089 0.165999 -1.92741
0.53 -1.87762 0.162212 -1.79707
0.54 -1.74438 0.158187 -1.66484
0.55 -1.60985 0.154187 -1.53132
0.56 -1.4747 0.150522 -1.39711
0.57 -1.3396 0.147544 -1.26278
0.58 -1.20519 0.145625 -1.12887
0.59 -1.07209 0.145148 -0.995895
0.6 -0.940901 0.146487 -0.864354
0.61 -0.812173 0.149996 -0.734714
0.62 -0.686423 0.155991 -0.607431
0.63 -0.564121 0.164741 -0.482945
0.64 -0.445693 0.176457 -0.361679
0.65 -0.331509 0.191282 -0.244038
0.66 -0.221891 0.209287 -0.130395
0.67 -0.117106 0.230471 -0.0210914
0.68 -0.0173679 0.254756 0.0835789
0.69 0.0771626 0.281996 0.183369
0.7 0.166376 0.311977 0.278086
0.71 0.250213 0.344428 0.367589
0.72 0.328661 0.379029 0.451791
0.73 0.401753 0.415419 0.530659
0.74 0.469562 0.453213 0.604204
0.75 0.5322 0.492006 0.672486
0.76 0.589813 0.531389 0.735606
0.77 0.642575 0.57096 0.793698
0.78 0.690686 0.610329 0.846933
0.79 0.73437 0.649131 0.895507
0.8 0.773866 0.687032 0.93964
0.81 0.809426 0.723734 0.979571
0.82 0.841313 0.758979 1.01555
0.83 0.869795 0.792553 1.04785
0.84 0.895143 0.824285 1.07672
0.85 0.917626 0.854047 1.10246
0.86 0.937512 0.881756 1.12532
0.87 0.955059 0.907366 1.14557
0.88 0.970521 0.930868 1.16348
0.89 0.984138 0.952286 1.17931
0.9 0.996141 0.971671 1.19329
0.91 1.00675 0.989099 1.20565
0.92 1.01616 1.00466 1.21662
0.93 1.02456 1.01847 1.2264
0.94 1.03213 1.03065 1.23517
0.95 1.03902 1.04131 1.24311
0.96 1.04539 1.0506 1.25039
0.97 1.05135 1.05863 1.25713
0.98 1.05702 1.06554 1.26347
0.99 1.0625 1.07144 1.26952
