#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -0.952719 0.190769 -0.865365
0.01 -0.991941 0.192531 -0.904184
0.02 -1.0337 0.198322 -0.944629
0.03 -1.07809 0.207923 -0.986896
0.04 -1.12523 0.221038 -1.0312
0.05 -1.17518 0.237299 -1.07775
0.06 -1.22801 0.256272 -1.12676
0.07 -1.28376 0.277468 -1.17841
0.08 -1.34246 0.300354 -1.23285
0.09 -1.40408 0.32436 -1.29018
0.1 -1.4686 0.348898 -1.35046
0.11 -1.53593 0.373367 -1.41372
0.12 -1.60598 0.397175 -1.47993
0.13 -1.67859 0.419747 -1.54901
0.14 -1.75359 0.440539 -1.62084
0.15 -1.83075 0.459052 -1.69525
0.16 -1.90982 0.474843 -1.77201
0.17 -1.9905 0.487533 -1.85085
0.18 -2.07245 0.496819 -1.93147
0.19 -2.15528 0.50248 -2.01351
0.2 -2.2386 0.50438 -2.09656
0.21 -2.32196 0.502474 -2.18018
0.22 -2.40488 0.496808 -2.26391
0.23 -2.48686 0.487517 -2.34722
0.24 -2.5674 0.474822 -2.42958
0.25 -2.64595 0.459027 -2.51044
0.26 -2.72196 0.44051 -2.58922
0.27 -2.7949 0.419715 -2.66533
0.28 -2.86421 0.397141 -2.73817
0.29 -2.92935 0.373331 -2.80715
0.3 -2.98981 0.348862 -2.87168
0.31 -3.04507 0.324326 -2.93117
0.32 -3.09468 0.300321 -2.98507
0.33 -3.13818 0.277439 -3.03284
0.34 -3.17519 0.256247 -3.07395
0.35 -3.20537 0.237279 -3.10794
0.36 -3.2284 0.221025 -3.13438
0.37 -3.24407 0.207916 -3.15287
0.38 -3.25218 0.198319 -3.16312
0.39 -3.25264 0.19253 -3.16488
0.4 -3.2454 0.190768 -3.15805
0.41 -3.23049 0.193171 -3.14259
0.42 -3.208 0.199795 -3.11861
0.43 -3.17812 0.210617 -3.08633
0.44 -3.14107 0.225534 -3.04609
0.45 -3.09718 0.244372 -2.99831
0.46 -3.04681 0.266887 -2.94348
0.47 -2.9904 0.292778 -2.88218
0.48 -2.92844 0.32169 -2.81501
0.49 -2.8615 0.353228 -2.74264
0.5 -2.79017 0.386961 -2.66575
0.51 -2.71508 0.422439 -2.58508
0.52 -2.63691 0.459196 -2.50138
0.53 -2.55636 0.496764 -2.4154
0.54 -2.47416 0.534678 -2.32792
0.55 -2.39105 0.572487 -2.23972
0.56 -2.30776 0.609756 -2.15159
0.57 -2.22503 0.646077 -2.06428
0.58 -2.1436 0.681069 -1.97854
0.59 -2.06416 0.714383 -1.89512
0.6 -1.98742 0.745702 -1.81471
0.61 -1.91401 0.774746 -1.73797
0.62 -1.84454 0.801266 -1.66552
0.63 -1.7796 0.825048 -1.59794
0.64 -1.71969 0.845909 -1.53574
0.65 -1.66527 0.863695 -1.4794
0.66 -1.61674 0.87828 -1.4293
0.67 -1.57443 0.889564 -1.38579
0.68 -1.53861 0.897469 -1.34914
0.69 -1.50947 0.901938 -1.31953
0.7 -1.48714 0.902936 -1.2971
0.71 -1.47166 0.900446 -1.28188
0.72 -1.46302 0.89447 -1.27387
0.73 -1.4611 0.885031 -1.27295
0.74 -1.46575 0.872172 -1.27897
0.75 -1.47672 0.855958 -1.29169
0.76 -1.49371 0.836479 -1.31079
0.77 -1.51633 0.81385 -1.33591
0.78 -1.54417 0.788217 -1.36661
0.79 -1.57674 0.759757 -1.40241
0.8 -1.61349 0.728679 -1.44276
0.81 -1.65384 0.695229 -1.48707
0.82 -1.69716 0.659688 -1.53472
0.83 -1.74282 0.622376 -1.58504
0.84 -1.79012 0.583646 -1.63733
0.85 -1.83836 0.543887 -1.69087
0.86 -1.88684 0.50352 -1.74493
0.87 -1.93485 0.462994 -1.79876
0.88 -1.98166 0.422777 -1.85162
0.89 -2.02658 0.383357 -1.90275
0.9 -2.06894 0.345227 -1.95143
0.91 -2.10807 0.308881 -1.99691
0.92 -2.14335 0.274808 -2.0385
0.93 -2.17419 0.243473 -2.0755
0.94 -2.20005 0.215319 -2.10725
0.95 -2.22044 0.190749 -2.13309
0.96 -2.23492 0.170124 -2.15243
0.97 -2.24311 0.153749 -2.16469
0.98 -2.2447 0.141871 -2.16936
0.99 -2.23941 0.13467 -2.16602
