#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -0.0156732 1.09988 0.194077
0.01 -0.00818696 1.09984 0.201559
0.02 -0.00105123 1.09978 0.20869
0.03 0.00569425 1.09971 0.215429
0.04 0.0120066 1.09962 0.221732
0.05 0.01784 1.0995 0.227554
0.06 0.0231455 1.09934 0.232844
0.07 0.0278711 1.09914 0.23755
0.08 0.031962 1.09888 0.241617
0.09 0.0353609 1.09855 0.244984
0.1 0.0380078 1.09813 0.247591
0.11 0.0398408 1.09761 0.249374
0.12 0.0407959 1.09695 0.250267
0.13 0.0408082 1.09613 0.250201
0.14 0.0398117 1.09512 0.249107
0.15 0.0377402 1.09387 0.246917
0.16 0.0345282 1.09234 0.243559
0.17 0.0301112 1.09048 0.238964
0.18 0.0244267 1.08823 0.233063
0.19 0.0174153 1.08552 0.225792
0.2 0.00902149 1.08227 0.217086
0.21 -0.000805594 1.0784 0.206886
0.22 -0.0121107 1.07381 0.195139
0.23 -0.0249317 1.06842 0.181797
0.24 -0.0392982 1.0621 0.166818
0.25 -0.0552307 1.05474 0.15017
0.26 -0.0727395 1.04622 0.131831
0.27 -0.0918234 1.03643 0.111787
0.28 -0.112469 1.02522 0.0900371
0.29 -0.13465 1.01247 0.0665941
0.3 -0.158324 0.998072 0.0414829
0.31 -0.183437 0.981893 0.0147436
0.32 -0.209918 0.96383 -0.0135683
0.33 -0.237679 0.943792 -0.0433815
0.34 -0.266619 0.921702 -0.0746079
0.35 -0.296616 0.897508 -0.107143
0.36 -0.327538 0.871183 -0.140864
0.37 -0.359233 0.842732 -0.175632
0.38 -0.391535 0.812195 -0.211292
0.39 -0.424265 0.779648 -0.24767
0.4 -0.45723 0.745211 -0.284579
0.41 -0.490224 0.709045 -0.321815
0.42 -0.523033 0.671357 -0.359161
0.43 -0.555433 0.632398 -0.396386
0.44 -0.587192 0.592462 -0.433249
0.45 -0.618076 0.551887 -0.469498
0.46 -0.647847 0.511044 -0.504872
0.47 -0.676266 0.470342 -0.539103
0.48 -0.703099 0.430213 -0.571918
0.49 -0.728115 0.391107 -0.603037
0.5 -0.75109 0.353488 -0.63218
0.51 -0.771811 0.317817 -0.65906
0.52 -0.790077 0.284547 -0.683391
0.53 -0.805702 0.254109 -0.704883
0.54 -0.818515 0.226906 -0.723246
0.55 -0.828367 0.203295 -0.738191
0.56 -0.835127 0.183584 -0.749434
0.57 -0.838689 0.168019 -0.756708
0.58 -0.838966 0.156777 -0.759776
0.59 -0.835901 0.149956 -0.758453
0.6 -0.82946 0.147578 -0.752628
0.61 -0.819633 0.149577 -0.742282
0.62 -0.806439 0.155804 -0.727495
0.63 -0.78992 0.166023 -0.708428
0.64 -0.770145 0.179922 -0.685311
0.65 -0.747206 0.197108 -0.658412
0.66 -0.721218 0.217125 -0.628024
0.67 -0.692316 0.239455 -0.594448
0.68 -0.660657 0.263531 -0.557986
0.69 -0.626413 0.288754 -0.518942
0.7 -0.589774 0.314499 -0.477614
0.71 -0.550942 0.340133 -0.4343
0.72 -0.510128 0.365029 -0.389292
0.73 -0.467553 0.388579 -0.342881
0.74 -0.423443 0.410209 -0.295348
0.75 -0.378028 0.429393 -0.246971
0.76 -0.331536 0.445661 -0.19802
0.77 -0.284196 0.458616 -0.148753
0.78 -0.23623 0.467938 -0.0994182
0.79 -0.187857 0.473395 -0.0502492
0.8 -0.139284 0.474847 -0.00146533
0.81 -0.0907095 0.472247 0.0467309
0.82 -0.0423213 0.465647 0.0941553
0.83 0.00570732 0.455193 0.140643
0.84 0.0532166 0.441124 0.186051
0.85 0.100062 0.423765 0.230256
0.86 0.146114 0.40352 0.27316
0.87 0.191259 0.380864 0.314688
0.88 0.235401 0.356329 0.354788
0.89 0.278457 0.330495 0.393435
0.9 0.320363 0.303977 0.430631
0.91 0.361066 0.277408 0.466405
0.92 0.40053 0.251425 0.500815
0.93 0.438733 0.226658 0.53395
0.94 0.475664 0.203714 0.565933
0.95 0.511324 0.183161 0.596918
0.96 0.545724 0.165522 0.627093
0.97 0.578886 0.151256 0.656669
0.98 0.610838 0.140757 0.685873
0.99 0.641615 0.13434 0.71492
