#Point[1d] mu[1d] sigma[1d] acquisition[1d]
0 -0.488857 1.08335 -0.280689
0.01 -0.529597 1.07971 -0.321779
0.02 -0.574117 1.0754 -0.366714
0.03 -0.622513 1.07033 -0.415599
0.04 -0.674859 1.06439 -0.46852
0.05 -0.731208 1.05748 -0.52554
0.06 -0.791583 1.04947 -0.586696
0.07 -0.855982 1.04026 -0.651996
0.08 -0.924367 1.02972 -0.721417
0.09 -0.996669 1.01773 -0.794905
0.1 -1.07278 1.00417 -0.872365
0.11 -1.15256 0.988942 -0.95367
0.12 -1.23582 0.971933 -1.03865
0.13 -1.32234 0.953056 -1.12709
0.14 -1.41185 0.932237 -1.21874
0.15 -1.50404 0.909424 -1.31331
0.16 -1.59857 0.884589 -1.41046
0.17 -1.69504 0.857731 -1.50981
0.18 -1.79303 0.828884 -1.61094
0.19 -1.89207 0.798116 -1.7134
0.2 -1.99167 0.765531 -1.81668
0.21 -2.0913 0.731279 -1.92027
0.22 -2.1904 0.695546 -2.0236
0.23 -2.2884 0.658562 -2.12609
0.24 -2.3847 0.620601 -2.22714
0.25 -2.4787 0.581971 -2.32612
0.26 -2.56978 0.543021 -2.4224
0.27 -2.65735 0.50413 -2.51534
0.28 -2.74078 0.465702 -2.6043
0.29 -2.8195 0.428165 -2.68864
0.3 -2.89294 0.391955 -2.76773
0.31 -2.96055 0.357516 -2.84097
0.32 -3.02183 0.325286 -2.90776
0.33 -3.0763 0.295689 -2.96754
0.34 -3.12355 0.269126 -3.01979
0.35 -3.1632 0.245967 -3.06401
0.36 -3.19494 0.22654 -3.09975
0.37 -3.21853 0.211127 -3.12663
0.38 -3.23376 0.199951 -3.14433
0.39 -3.24053 0.193179 -3.15263
0.4 -3.23879 0.190908 -3.1514
0.41 -3.22855 0.193171 -3.14065
0.42 -3.20992 0.199932 -3.12049
0.43 -3.18306 0.211084 -3.09117
0.44 -3.14822 0.226459 -3.05304
0.45 -3.1057 0.245823 -3.00654
0.46 -3.05587 0.268889 -2.95216
0.47 -2.99918 0.295317 -2.8905
0.48 -2.93612 0.324727 -2.82215
0.49 -2.86724 0.356703 -2.74779
0.5 -2.79313 0.390802 -2.66811
0.51 -2.71444 0.426567 -2.58381
0.52 -2.63182 0.463529 -2.49565
0.53 -2.54598 0.501221 -2.40438
0.54 -2.45763 0.539182 -2.31077
0.55 -2.36751 0.576966 -2.21559
0.56 -2.27634 0.614148 -2.11961
0.57 -2.18486 0.650326 -2.02358
0.58 -2.09379 0.685128 -1.92825
0.59 -2.00383 0.718214 -1.83433
0.6 -1.91565 0.749274 -1.74253
0.61 -1.82991 0.778036 -1.6535
0.62 -1.74721 0.804257 -1.56785
0.63 -1.66811 0.827729 -1.48615
0.64 -1.59314 0.848273 -1.40894
0.65 -1.52276 0.86574 -1.33667
0.66 -1.45738 0.880006 -1.26976
0.67 -1.39734 0.890972 -1.20855
0.68 -1.34293 0.898562 -1.15334
0.69 -1.29437 0.90272 -1.10434
0.7 -1.25181 0.903409 -1.06172
0.71 -1.21535 0.900614 -1.02555
0.72 -1.18501 0.894334 -0.995868
0.73 -1.16073 0.884591 -0.972629
0.74 -1.14243 0.871428 -0.955729
0.75 -1.12992 0.854907 -0.944998
0.76 -1.12298 0.835117 -0.940211
0.77 -1.12132 0.812173 -0.941082
0.78 -1.12461 0.786219 -0.947276
0.79 -1.13246 0.757431 -0.958403
0.8 -1.14445 0.726019 -0.974033
0.81 -1.16009 0.692229 -0.993692
0.82 -1.1789 0.656342 -1.01687
0.83 -1.20034 0.618679 -1.04303
0.84 -1.22386 0.579596 -1.0716
0.85 -1.2489 0.539482 -1.102
0.86 -1.27487 0.498762 -1.13363
0.87 -1.3012 0.457885 -1.16587
0.88 -1.32731 0.417325 -1.19811
0.89 -1.35262 0.377571 -1.22973
0.9 -1.37659 0.33912 -1.26012
0.91 -1.39867 0.302472 -1.28867
0.92 -1.41835 0.268115 -1.31479
0.93 -1.43515 0.236521 -1.33788
0.94 -1.44863 0.208134 -1.35739
0.95 -1.45838 0.183362 -1.37273
0.96 -1.46402 0.162567 -1.38338
0.97 -1.46526 0.146058 -1.38882
0.98 -1.4618 0.134082 -1.38857
0.99 -1.45344 0.126822 -1.38222
