0 2129  0 0   174.686 0.000118726
100 11307  0 0   509.945 4.76955e-05
200 20246  0 0   754.714 2.66876e-05
300 27922  0 0   937.088 1.96416e-05
400 35014  0 0   1093.64 1.49167e-05
500 36543  0 0   1125.46 1.43545e-05
600 38443  0 0   1163.17 1.45911e-05
700 43464  0 0   1266.08 1.2369e-05
800 45339  0 0   1302.78 1.18237e-05
900 47427  0 0   1343.24 1.111e-05
1000 51138  0 0   1415.66 9.76312e-06
1100 53848  0 0   1466.91 8.93254e-06
1200 54779  0 0   1484.39 8.79368e-06
1300 55294  0 0   1493.69 8.82289e-06
1400 55961  0 0   1505.1 8.89014e-06
1500 57974  0 0   1541.56 8.72639e-06
1600 59915  0 0   1576.29 8.39456e-06
1700 64812  0 0   1663.53 7.74462e-06
1800 69168  0 0   1739.49 6.92343e-06
1900 72465  0 0   1795.59 6.3102e-06
