0    0.51838139097133051 0.055675983066717671 0.97690495576430658  0         0.041385173797607422 0.52023303508758545 -0.99937295913696289 
1    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
2    0.054543764729840287 0.94445975759073153 0.17715510726760761  0         -1 -1 0.63540959358215332 
3    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
4    0.65947605414845001 0.40349769223996051 0.027996880155206107  0         0.35621869564056396 0.28564691543579102 0.98611199855804443 
5    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
6    0 0 0  0         0.38381791114807129 0.77571296691894531 1 
7    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
8    0.76615080943734981 0.79014825729284566 0.36935999632807459  0         0.5954970121383667 -0.02671504020690918 0.24839818477630615 
9    0.51838139097133051 0.05567679987447683 0.97727996749278234  0         0.041385173797607422 0.52023303508758545 -1 
10    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
11    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
12    0.76615080943734981 0.79014825729284566 0.36935999632807459  0         0.5954970121383667 -0.02671504020690918 0.24839818477630615 
13    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
14    0.34231294128544004 0.097092707101836651 0.42593270706466441  0         -0.35213923454284668 0.2757256031036377 0.13958597183227539 
15    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
16    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
17    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
18    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
19    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
20    0.55424300233856028 0.059102400728892432 0.14778002745329036  0         0.1212087869644165 0.5557934045791626 0.69943070411682129 
21    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
22    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
23    0.55424300233856028 0.059102400728892432 0.14778002745329036  0         0.1212087869644165 0.5557934045791626 0.69943070411682129 
24    0.62546957746675136 0.12933932358240169 0.022720032563292199  0         0.27958691120147705 0.5557934045791626 1 
25    0.51838139097133051 0.54524312222405646 0.13297653873311296  0         0.041385173797607422 -0.030208170413970947 0.7315523624420166 
26    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
27    0.51838139097133051 0.05567679987447683 0.97727996749278234  0         0.041385173797607422 0.52023303508758545 -1 
28    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
29    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
30    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
31    0.45382500830920697 0.37596002149819696 0.66477552362980641  0         -0.10300099849700928 0.086906790733337402 -0.31366759538650513 
32    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
33    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
34    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
35    0.51927802337894413 0.056457197112417916 0.89243834695031898  0         0.043467044830322266 0.52023303508758545 -0.78989529609680176 
36    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
37    0.52465775055395591 0.77473471752062939 0.13698982177391816  0         0.0553741455078125 -0.27950185537338257 0.72260963916778564 
38    0.60084176610680406 0.88652992408269116 0.50106023869121452  0         0.22481191158294678 -0.32089716196060181 -0.0018769502639770508 
39    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
40    0.054543764729840287 0.68376179852040053 0.02272003256330226  0         -1 -0.70552688837051392 1 
41    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
42    0.054543764729840287 0.72477860796775717 0.022720032563306135  0         -1 -0.75208055973052979 1 
43    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
44    0.51838139097133051 0.055676852397479673 0.022720032563290637  0         0.041385173797607422 0.52023303508758545 1 
45    0.054543764729840287 0.9445291635780555 0.53232492530953512  0         -1 -1 -0.061063051223754883 
46    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
47    0.51838139097133051 0.055470504137338707 0.59510401963875548  0         0.041385173797607422 0.52023303508758545 -0.17982953786849976 
48    0.45382500830920697 0.37595656676811023 0.58249191860249527  0         -0.10300099849700928 0.086906790733337402 -0.15634185075759888 
49    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
50    0.054543764729840287 0.77372346642806955 0.02272003256331076  0         -1 -0.80748832225799561 1 
51    0.054543764729840287 0.94445404090170482 0.16603985852943789  0         -1 -1 0.65896213054656982 
52    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
53    0.42334972539313637 0.23938838988623323 0.42593270706466418  0         -0.17120218276977539 0.20582973957061768 0.13958597183227539 
54    0.054543764729840287 0.48605583944314595 0.022720032563289194  0         -1 -0.48460537195205688 1 
55    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
56    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
57    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
58    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
59    0.51838139097133051 0.05567679987447683 0.97727996749278234  0         0.041385173797607422 0.52023303508758545 -1 
60    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
61    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
62    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
63    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
64    0.51838139097133051 0.055676852397479673 0.022720032563290637  0         0.041385173797607422 0.52023303508758545 1 
65    0.51838139097133051 0.055676852397479673 0.022720032563290637  0         0.041385173797607422 0.52023303508758545 1 
66    0.054543764729840287 0.94442930419122673 0.12500518182974782  0         -1 -1 0.74957716464996338 
67    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
68    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
69    0.57754642620571928 0.11383888357757525 0.97727996749278234  0         0.17315280437469482 0.52023303508758545 -1 
70    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
71    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
72    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
73    0.058501910202600198 0.83007698285455678 0.022720032563313709  0         -0.99054098129272461 -0.86599856615066528 1 
74    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
75    0.45382500830920697 0.37595634678066675 0.42593270706466396  0         -0.10300099849700928 0.086906790733337402 0.13958597183227539 
76    0.86029137237851816 0.61807599156807913 0.059225299505801313  0         0.80683207511901855 0.27166330814361572 0.90582859516143799 
77    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
78    0.054543764729840287 0.9445291635780555 0.53232492530953512  0         -1 -1 -0.061063051223754883 
79    0.70818460032625419 0.14122061839684197 0.75878983002727129  0         0.46522939205169678 0.63458859920501709 -0.50098180770874023 
80    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
81    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
82    0.94545623527015976 0.70085217290351043 0.56088090239810806  0         1 0.27576923370361328 -0.11450743675231934 
83    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
84    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
85    0.67244326033431268 0.10584791590930107 0.75584930305338416  0         0.38541841506958008 0.63458859920501709 -0.49460446834564209 
86    0.74699471101064663 0.53787905911328715 0.50159035721960321  0         0.55248641967773438 0.23449885845184326 -0.0031946301460266113 
87    0.76615080943734981 0.89375328465300663 0.3693599963280747  0         0.5954970121383667 -0.14447343349456787 0.24839818477630615 
88    0 0 0  0         0.22481191158294678 -0.51122093200683594 -0.0018769502639770508 
89    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
90    0.054543764729840287 0.78438622202317831 0.022720032563311399  0         -1 -0.81855952739715576 1 
91    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
92    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
93    0.054543764729840287 0.2493513347766648 0.022720032563283064  0         -1 -0.21956706047058105 1 
94    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
95    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
96    0.054543764729840287 0.94438305316581295 0.069346871543394514  0         -1 -1 0.8805689811706543 
97    0.51838139097133051 0.05567679987447683 0.97727996749278234  0         0.041385173797607422 0.52023303508758545 -1 
98    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
99    0.51838139097133051 0.18439959208684883 0.41435213345692806  0         0.041385173797607422 0.37395572662353516 0.16249179840087891 
100    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
101    0.67199620595544651 0.37132316874932542 0.022720032563284684  0         0.38381791114807129 0.33555054664611816 1 
102    0.054543764729840287 0.9445291635780555 0.53232492530953512  0         -1 -1 -0.061063051223754883 
103    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
104    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
105    0.054543764729840287 0.94431803817666582 0.022720032563336608  0         -1 -1 1 
106    0.51838139097133051 0.5309199027644117 0.35638360678157144  0         0.041385173797607422 -0.014324069023132324 0.27314543724060059 
