0    0.48251524427092496 0.15163031162838628 0.16373898475295531  0         -0.039155006408691406 0.37146413326263428 0.66352927684783936 
1    0.46727292468755888 0.46279867423884813 0.19451441623499963  0         -0.073224425315856934 0.0054340362548828125 0.59756338596343994 
2    0.160087933562545 0.063003429760489546 0.49469885885707349  0         -0.76105356216430664 0.11032474040985107 0.010220766067504883 
3    0.24765757130570829 0.056714097360982776 0.022720032563283005  0         -0.56382071971893311 0.21632885932922363 1 
4    0.054543764729840287 0.2554762934289731 0.32957579458749015  0         -1 -0.22668862342834473 0.32519328594207764 
5    0.1973726865863778 0.05692172144034606 0.27385758795197468  0         -0.67707061767578125 0.15855395793914795 0.43490695953369141 
6    0.13793787919397313 0.056115542274223197 0.051250193081990816  0         -0.8107379674911499 0.092729568481445312 0.92595052719116211 
7    0.10610365606296084 0.14602510708612196 0.028755388502538171  0         -0.88336300849914551 -0.04453575611114502 0.98432636260986328 
8    0.098598494149890775 0.067864688207036672 0.13833162294316251  0         -0.90033280849456787 0.034654021263122559 0.72015285491943359 
9    0.059381685753185913 0.076294349909507342 0.022720032563282023  0         -0.98850047588348389 -0.018774747848510742 1 
10    0.054543764729840287 0.10312407718935836 0.039883459267416682  0         -1 -0.054766416549682617 0.95513975620269775 
11    0.054543764729840287 0.070510063714247839 0.068938795092749736  0         -1 -0.018430233001708984 0.88189935684204102 
12    0.054543764729840287 0.059147238197987222 0.022720032563282023  0         -1 -0.0054389238357543945 1 
13    0.054543764729840287 0.082856814318755218 0.042995520255724395  0         -1 -0.031708419322967529 0.94721508026123047 
14    0.054543764729840287 0.059966016483218219 0.064872695212458809  0         -1 -0.005814969539642334 0.89183461666107178 
15    0.054543764729840287 0.10309674921469975 0.06487269521245892  0         -1 -0.054766416549682617 0.89183461666107178 
16    0.054543764729840287 0.10307325450006002 0.092615655555972815  0         -1 -0.054766416549682617 0.82480788230895996 
17    0.054543764729840287 0.10305638004253602 0.11667230221719903  0         -1 -0.054766416549682617 0.76885032653808594 
18    0.054543764729840287 0.059045083361850749 0.11318914928880978  0         -1 -0.0054389238357543945 0.77683877944946289 
19    0.054543764729840287 0.12337526814141456 0.086722812865226304  0         -1 -0.077566027641296387 0.83933377265930176 
20    0.054543764729840287 0.11373456244757925 0.022720032563282082  0         -1 -0.0665016770362854 1 
21    0.054543764729840287 0.12961037257030006 0.033713948286669765  0         -1 -0.084577262401580811 0.97120833396911621 
22    0.054543764729840287 0.12958070152352658 0.060430993131100307  0         -1 -0.084577262401580811 0.90256667137145996 
23    0.054543764729840287 0.1392791947664663 0.090505378189785726  0         -1 -0.09572899341583252 0.82969379425048828 
24    0.054543764729840287 0.13837649301156227 0.11973247849912215  0         -1 -0.095497369766235352 0.76154923439025879 
25    0.054543764729840287 0.12954343364558768 0.10972126559657103  0         -1 -0.084577262401580811 0.78460478782653809 
26    0.1025712633620155 0.10364192819886775 0.022720032563282023  0         -0.89066833257675171 -0.0006847381591796875 1 
27    0.08801060481391082 0.060934023550919598 0.025351283745920414  0         -0.9244004487991333 0.031447172164916992 0.99291658401489258 
28    0.11847462701014082 0.058775168445572512 0.022720032563282082  0         -0.85463231801986694 0.068407535552978516 1 
29    0.059381685753185913 0.087736195758804661 0.022720032563282023  0         -0.98850047588348389 -0.031708419322967529 1 
30    0.1025712633620155 0.05612362268852019 0.022720032563282082  0         -0.89066833257675171 0.053129315376281738 1 
31    0.059381685753185913 0.098307420688355365 0.022720032563282023  0         -0.98850047588348389 -0.044496893882751465 1 
32    0.11847462701014082 0.077236244346206614 0.022720032563282023  0         -0.85463231801986694 0.047002315521240234 1 
33    0.13218449489013831 0.054833354605896063 0.024598030409235007  0         -0.82402253150939941 0.087775707244873047 0.99525249004364014 
34    0.12201132458984031 0.089563355438481054 0.022720032563282023  0         -0.84731543064117432 0.036540627479553223 1 
35    0.059381685753185913 0.08771562134737039 0.035249461519684437  0         -0.98850047588348389 -0.031708419322967529 0.9674232006072998 
36    0.059381685753185913 0.087661218304254301 0.085885040124381667  0         -0.98850047588348389 -0.031708419322967529 0.84071123600006104 
37    0.059381685753185913 0.087647598866002402 0.10368962214213745  0         -0.98850047588348389 -0.031708419322967529 0.79945039749145508 
38    0.13129957061170952 0.086486004548156151 0.025351283745920529  0         -0.82641851902008057 0.050664305686950684 0.99291658401489258 
39    0.086246839718036261 0.065268063182110564 0.068938795092749736  0         -0.92848742008209229 0.023903250694274902 0.88189935684204102 
