0    0.41259672587885565 0.94249545683337854 0.9772799674927819  0         -0.19529902935028076 -0.59478402137756348 -1 
1    0.31236095927082624 0.8437667998949544 0.71662740335211561  0         -0.41893523931503296 -0.59478402137756348 -0.41576480865478516 
2    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
3    0.46816949798320712 0.057170916322340018 0.47403055226971408  0         -0.070577025413513184 0.46181583404541016 0.048740506172180176 
4    0.80262731341362215 0.21583573029130643 0.87367141989047314  0         0.67748832702636719 0.65693283081054688 -0.74741530418395996 
5    0.80262731341362215 0.21578893728116522 0.70453976795130246  0         0.67748832702636719 0.65693283081054688 -0.39232528209686279 
6    0.56006948333645634 0.4239412562412081 0.49363865940211932  0         0.13408529758453369 0.15223419666290283 0.012146234512329102 
7    0.50806994932830174 0.6468050153492787 0.50742152435742005  0         0.017739295959472656 -0.15512895584106445 -0.014408111572265625 
8    0.46816949798320712 0.057170916322340018 0.47403055226971408  0         -0.070577025413513184 0.46181583404541016 0.048740506172180176 
9    0.19248525731483518 0.059982997002851146 0.30812872524378215  0         -0.68849092721939087 0.15020895004272461 0.36686921119689941 
10    0.19248525731483518 0.060010114191082382 0.22175664526133543  0         -0.68849092721939087 0.15020895004272461 0.54146945476531982 
11    0.94545623527015965 0.24495079236690567 0.02272003256330897  0         1 0.78599810600280762 1 
12    0.94545623527015965 0.84489228527003346 0.43278638806852671  0         1 0.11355268955230713 0.12709259986877441 
13    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
14    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
15    0.054543764729840578 0.75513636589915567 0.20400616288437998  0         -1 -0.78585267066955566 0.57816815376281738 
16    0.054543764729840578 0.9443180381766656 0.022720032563336608  0         -1 -1 1 
17    0.87931504676616457 0.73989718589575504 0.97727996749278367  0         0.85034680366516113 0.15706872940063477 -1 
18    0.53810640426173617 0.75523102890629012 0.58091325336553679  0         0.084762930870056152 -0.24268651008605957 -0.1531912088394165 
19    0.9397384707473474 0.14243765547544626 0.93755409835938219  0         0.98685634136199951 0.89480400085449219 -0.89823991060256958 
20    0.054543764729840578 0.9443180381766656 0.022720032563336608  0         -1 -1 1 
21    0.80262731341362215 0.2158941656151234 0.96628605176044347  0         0.67748832702636719 0.65693283081054688 -0.97123903036117554 
22    0.29002960778849574 0.93885480228121521 0.97727996749278079  0         -0.46889239549636841 -0.72787970304489136 -1 
23    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
24    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
25    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
26    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 0.99965274333953857 1 
27    0.62994587339282249 0.26142636769230615 0.32496358732000874  0         0.29020655155181885 0.41168355941772461 0.33384418487548828 
28    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
29    0.054543764729840578 0.9443180381766656 0.022720032563336608  0         -1 -1 1 
30    0.94545623527015965 0.055483079046632591 0.3543123923417979  0         1 1 0.27703475952148438 
31    0.80262731341362215 0.23186879979198879 0.93755409835938497  0         0.67748832702636719 0.63873696327209473 -0.89823991060256958 
32    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
33    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
34    0.054543764729840578 0.9443180381766656 0.022720032563336608  0         -1 -1 1 
35    0.94545623527015965 0.055532086762452006 0.19404178790197307  0         1 1 0.59868419170379639 
36    0.67154914494558637 0.38961890613993289 0.81817946015552923  0         0.38250899314880371 0.31538677215576172 -0.62547320127487183 
37    0.9397384707473474 0.36399442230259432 0.93755409835938497  0         0.98685634136199951 0.64586234092712402 -0.89823991060256958 
38    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
39    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
40    0.19515095144762296 0.8732050464076182 0.8941616816236484  0         -0.68196314573287964 -0.75975924730300903 -0.79396921396255493 
41    0.63889694504333794 0.16723328301494531 0.5370896802454822  0         0.30970108509063721 0.52797257900238037 -0.070158421993255615 
42    0.59860224783609794 0.72812993818385852 0.5550711547632009  0         0.22026371955871582 -0.14522421360015869 -0.10449004173278809 
43    0.56006948333645634 0.42394156047903253 0.5550711547632009  0         0.13408529758453369 0.15223419666290283 -0.10449004173278809 
44    0 0 0  0         0.89709067344665527 0.99779558181762695 1 
45    0.29002960778849574 0.77980945854490813 0.89373121196615546  0         -0.46889239549636841 -0.54836344718933105 -0.79347801208496094 
46    0.73584926282728358 0.36999236221737658 0.53920676846125093  0         0.52683913707733154 0.40910112857818604 -0.074225485324859619 
47    0.46906607618751933 0.69632176735157858 0.71913611610873851  0         -0.06933438777923584 -0.25409853458404541 -0.42143964767456055 
48    0.73584926282728358 0.085606404723277393 0.59720287247566528  0         0.52683913707733154 0.72906994819641113 -0.18379509449005127 
49    0.29002960778849574 0.93895148359156677 0.89373121196615413  0         -0.46889239549636841 -0.72787970304489136 -0.79347801208496094 
50    0.054543764729840578 0.9443180381766656 0.022720032563336608  0         -1 -1 1 
51    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
52    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
53    0.94545623527015965 0.055681961823334541 0.022720032563336608  0         1 1 1 
