0 2101  0 0   172.144 0.000135244
100 11569  0 0   515.645 4.74252e-05
200 19400  0 0   730.963 2.83098e-05
300 25510  0 0   880.962 2.04275e-05
400 30132  0 0   986.509 1.70681e-05
500 34036  0 0   1070.92 1.60832e-05
600 38822  0 0   1172.89 1.36162e-05
700 45066  0 0   1299.94 1.08462e-05
800 50333  0 0   1403.14 9.14487e-06
900 53609  0 0   1463.86 8.82465e-06
1000 56338  0 0   1512.8 8.92444e-06
1100 57948  0 0   1541.17 9.16988e-06
1200 63353  0 0   1637.51 8.51801e-06
1300 68626  0 0   1731.72 6.98237e-06
1400 68944  0 0   1736.92 6.89203e-06
1500 69766  0 0   1750.2 6.74141e-06
1600 70541  0 0   1763.46 6.60221e-06
1700 71376  0 0   1777.53 6.49755e-06
1800 73420  0 0   1812.33 6.33323e-06
1900 76122  0 0   1856.95 6.33768e-06
