0 2119  0 0   172.695 0.000138035
100 12094  0 0   532.059 4.69916e-05
200 19823  0 0   743.229 2.78744e-05
300 27585  0 0   930.894 1.85351e-05
400 33386  0 0   1060.67 1.48033e-05
500 34784  0 0   1089.23 1.47308e-05
600 38068  0 0   1158.8 1.34862e-05
700 42054  0 0   1240.34 1.25015e-05
800 48394  0 0   1366.49 1.00055e-05
900 51106  0 0   1417.27 9.46992e-06
1000 52258  0 0   1438.36 9.3134e-06
1100 54105  0 0   1470.87 9.44257e-06
1200 58912  0 0   1557.71 9.14897e-06
1300 64471  0 0   1658.28 7.54893e-06
1400 68314  0 0   1725.5 6.87824e-06
1500 71061  0 0   1771.99 6.74118e-06
1600 72406  0 0   1794.43 6.62379e-06
1700 72630  0 0   1797.92 6.6496e-06
1800 72679  0 0   1798.56 6.67104e-06
1900 72739  0 0   1799.4 6.69257e-06
