42    0.94545623527015976 0.055470311470105206 0.48727788380415965  0         -1 -1 0.023646712303161621 
43    0.41170072690411613 0.93477061117015869 0.30254518649242784  0         0.19666612148284912 0.58715569972991943 0.37822389602661133 
44    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
45    0.10919529723602972 0.56315752043892431 0.064062687830266155  0         0.87601816654205322 0.50875306129455566 0.89380180835723877 
46    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
47    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
48    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
49    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
50    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
51    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
52    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
53    0.94545623527015976 0.055474595397934055 0.58564786654221446  0         -1 -1 -0.16231775283813477 
54    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
55    0.89698724099907934 0.68827899640896462 0.81630777596508486  0         -0.89044678211212158 -0.23453986644744873 -0.62136417627334595 
56    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
57    0.94545623527015976 0.090671914579310647 0.59772743660854655  0         -1 -0.9600677490234375 -0.18546479940414429 
58    0.94545623527015976 0.081863074792202076 0.40279712752349017  0         -1 -0.9704011082649231 0.1836860179901123 
59    0.78929085225138773 0.13419694285646372 0.54026516877992625  0         -0.64739072322845459 -0.73447352647781372 -0.076372087001800537 
60    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
61    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
62    0.94545623527015976 0.055471884440376373 0.44704252257317412  0         -1 -1 0.09976351261138916 
63    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
64    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
65    0.94545623527015976 0.055474276994966987 0.41750808139665363  0         -1 -1 0.1564791202545166 
66    0.94545623527015976 0.39392133481476632 0.3965064074102066  0         -1 -0.61909669637680054 0.19620275497436523 
67    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
68    0.94545623527015976 0.14453690646275855 0.5977274366085461  0         -1 -0.89940786361694336 -0.18546479940414429 
69    0.94545623527015976 0.66511557662008758 0.81630777596508475  0         -1 -0.31614440679550171 -0.62136417627334595 
70    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
71    0.94545623527015976 0.055501302039643867 0.27685698795928404  0         -1 -1 0.42882621288299561 
72    0.41170072690411613 0.93477061117015869 0.30254518649242784  0         0.19666612148284912 0.58715569972991943 0.37822389602661133 
73    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
74    0.94545623527015976 0.56761755744076292 0.022720032563287113  0         -1 -0.42461478710174561 1 
75    0.37005412660717757 0.12900574806797271 0.087142081725529882  0         0.28998661041259766 -0.27114403247833252 0.83845245838165283 
76    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
77    0.94545623527015976 0.055484602028034458 0.65395788376251596  0         -1 -1 -0.29303103685379028 
78    0.94545623527015976 0.055475927184601231 0.59772743660854677  0         -1 -1 -0.18546479940414429 
79    0.94545623527015976 0.055491260561246758 0.68525411805493197  0         -1 -1 -0.35439997911453247 
